Path,Milestone,Equivalent_Over_Line,Source_Column,Resolved_Starts,Weight_Learning_Status,Starts_To_Minimum,Brier_Score,Mean_Predicted_Probability,Empirical_Hit_Rate,Calibration_Gap,Absolute_Calibration_Gap,Report_Version
SIM,3,2.5,sim_3p,63,ELIGIBLE_TO_FIT,0,0.17733652695873015,0.8618215873015874,0.7777777777777778,0.08404380952380963,0.08404380952380963,calibration-health-v2.1
MATH,3,2.5,math_3p,63,ELIGIBLE_TO_FIT,0,0.1728598353543646,0.8341065470416634,0.7777777777777778,0.056328769263885636,0.056328769263885636,calibration-health-v2.1
SIM,4,3.5,sim_4p,63,ELIGIBLE_TO_FIT,0,0.23120702755555556,0.7134184126984127,0.6190476190476191,0.0943707936507936,0.0943707936507936,calibration-health-v2.1
MATH,4,3.5,math_4p,63,ELIGIBLE_TO_FIT,0,0.2273031637726356,0.6833681153495167,0.6190476190476191,0.06432049630189762,0.06432049630189762,calibration-health-v2.1
SIM,5,4.5,sim_5p,63,ELIGIBLE_TO_FIT,0,0.23996125000634924,0.5321961904761905,0.4603174603174603,0.0718787301587302,0.0718787301587302,calibration-health-v2.1
MATH,5,4.5,math_5p,63,ELIGIBLE_TO_FIT,0,0.23879038959902216,0.5122429699503566,0.4603174603174603,0.05192550963289627,0.05192550963289627,calibration-health-v2.1
SIM,6,5.5,sim_6p,63,ELIGIBLE_TO_FIT,0,0.20915266775873015,0.35458730158730156,0.31746031746031744,0.03712698412698412,0.03712698412698412,calibration-health-v2.1
MATH,6,5.5,math_6p,63,ELIGIBLE_TO_FIT,0,0.20876050378259992,0.35171340777570753,0.31746031746031744,0.03425309031539009,0.03425309031539009,calibration-health-v2.1
SIM,7,6.5,sim_7p,63,ELIGIBLE_TO_FIT,0,0.12206784551111112,0.2103447619047619,0.15873015873015872,0.051614603174603174,0.051614603174603174,calibration-health-v2.1
MATH,7,6.5,math_7p,63,ELIGIBLE_TO_FIT,0,0.12443628483491743,0.22247884742796384,0.15873015873015872,0.06374868869780512,0.06374868869780512,calibration-health-v2.1
SIM,8,7.5,sim_8p,63,ELIGIBLE_TO_FIT,0,0.0810616098031746,0.11126095238095239,0.09523809523809523,0.016022857142857158,0.016022857142857158,calibration-health-v2.1
MATH,8,7.5,math_8p,63,ELIGIBLE_TO_FIT,0,0.08211933316783056,0.13073554016949593,0.09523809523809523,0.035497444931400696,0.035497444931400696,calibration-health-v2.1
SIM,9,8.5,sim_9p,63,ELIGIBLE_TO_FIT,0,0.07150193432380954,0.052679365079365076,0.07936507936507936,-0.026685714285714285,0.026685714285714285,calibration-health-v2.1
MATH,9,8.5,math_9p,63,ELIGIBLE_TO_FIT,0,0.07073222934298606,0.07207613950392472,0.07936507936507936,-0.007288939861154642,0.007288939861154642,calibration-health-v2.1
SIM,10,9.5,sim_10p,63,ELIGIBLE_TO_FIT,0,0.04549166382222222,0.022517460317460318,0.047619047619047616,-0.0251015873015873,0.0251015873015873,calibration-health-v2.1
MATH,10,9.5,math_10p,63,ELIGIBLE_TO_FIT,0,0.04408005933440153,0.03769050445658342,0.047619047619047616,-0.0099285431624642,0.0099285431624642,calibration-health-v2.1
