Review_Dimension,Dimension,Segment,Rows,Authentic_Pregame_Pairs,OOS_Paired_Starts,Observed_Days,Distinct_Opponents,Preconfirm_MAE,Confirmed_MAE,Relative_MAE_Improvement,Confirmed_Win_Share,Confirmed_Loss_Share,Preconfirm_Bias,Confirmed_Bias,Bias_Absolute_Change,Mean_Absolute_Projection_Delta,Evidence,Reason,Report_Only,Production_Authority,No_Auto_Promotion,Automatic_Decision_Allowed,Source_Version,Snapshot_Version
OVERALL,OVERALL,ALL CONFIRMED LINEUP PAIRS,370,247,219,9,30,1.8016902418373288,1.7927819265888454,0.0049444211005988,0.5296803652968036,0.4703196347031963,0.125991377673276,0.1496441659564157,0.023652788283139686,0.0946657368364027,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 219, 9, and 30.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,LINEAGE,POST_START_CAPTURE,6,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,LINEAGE,PRE_GAME_CAPTURE,265,247,219,9,30,1.8016902418373288,1.7927819265888454,0.0049444211005988,0.5296803652968036,0.4703196347031963,0.125991377673276,0.1496441659564157,0.023652788283139686,0.0946657368364027,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 219, 9, and 30.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,LINEAGE,UNCONFIRMED,99,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,OUTCOME LINEAGE,RESOLVED_AFTER_START,342,247,219,9,30,1.8016902418373288,1.7927819265888454,0.0049444211005988,0.5296803652968036,0.4703196347031963,0.125991377673276,0.1496441659564157,0.023652788283139686,0.0946657368364027,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 219, 9, and 30.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,OUTCOME LINEAGE,UNRESOLVED,28,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_DIRECTION,PROJECTION DELTA DIRECTION,DOWN,109,103,85,9,23,1.7538144104645228,1.7370641019135404,0.009550787387216,0.6,0.4,0.3125631674789909,0.221645810801006,-0.09091735667798487,0.0909173566779849,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 85, 9, and 23.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_DIRECTION,PROJECTION DELTA DIRECTION,NEUTRAL,15,14,14,8,10,1.8539218924063232,1.854315395574688,-0.0002122544482463,0.4285714285714285,0.5714285714285714,0.7399735817202417,0.7376652841435636,-0.0023082975766781644,0.0045406379881185,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 14, 8, and 10.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_DIRECTION,PROJECTION DELTA DIRECTION,UNKNOWN,113,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_DIRECTION,PROJECTION DELTA DIRECTION,UP,133,130,120,9,28,1.8295085964933504,1.8250698143521715,0.0024262155147492,0.4916666666666666,0.5083333333333333,-0.0777948972445847,0.0300405370696637,-0.047754360174921004,0.1078354343142485,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 120, 9, and 28.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_MAGNITUDE,PROJECTION DELTA BAND,0.05–0.14 K,107,106,99,9,28,1.7426027328067577,1.740734762510547,0.0010719427102021,0.5252525252525253,0.4747474747474747,0.118139448432492,0.1322801628069743,0.014140714374482305,0.0920848846023456,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 99, 9, and 28.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_MAGNITUDE,PROJECTION DELTA BAND,0.15–0.29 K,49,48,34,8,19,1.7914017134488665,1.77451423534329,0.0094269632426911,0.5294117647058824,0.4705882352941176,-0.0966637489486255,-0.0727507864081862,-0.0239129625404393,0.1998260971208447,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 34, 8, and 19.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_MAGNITUDE,PROJECTION DELTA BAND,0.30+ K,10,9,8,4,5,2.024023756799044,1.9026147330132348,0.0599839914813129,0.625,0.375,-1.104335533583069,-0.7487989920699432,-0.35553654151312575,0.3555365415131255,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 8, 4, and 5.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_MAGNITUDE,PROJECTION DELTA BAND,<0.05 K,91,84,78,9,24,1.8583672320878497,1.8555397252389132,0.0015215005947772,0.5256410256410257,0.4743589743589743,0.3591994621608788,0.360772498730801,0.0015730365699221927,0.0253463225298238,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 78, 9, and 24.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
MOVEMENT_MAGNITUDE,PROJECTION DELTA BAND,UNKNOWN,113,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,60–69,88,50,43,9,22,1.5574999776396692,1.5743128183170811,-0.0107947614245819,0.4651162790697674,0.5348837209302325,0.1467543579201961,0.1648547444958987,0.01810038657570262,0.0974376890821176,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 43, 9, and 22.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,70–79,196,170,152,9,30,1.8481225249557995,1.8279284791310388,0.010926789513181,0.5592105263157895,0.4407894736842105,0.0290850212890431,0.05797057651924,0.0288855552301969,0.0993198282564295,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 152, 9, and 30.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,80–89,2,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,90+,16,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
