Dimension,Segment,Starts,Observed_Days,Distinct_Opponents,Applied_MAE,Neutral_MAE,Relative_MAE_Improvement,Applied_Win_Share,Neutral_Win_Share,Tie_Share,Applied_Bias,Neutral_Bias,Applied_Abs_Bias_Change_vs_Neutral,Mean_Adjustment_K,Mean_Split_Coverage,Mean_Opposite_Hand_Share,Evidence,Report_Only,Production_Authority,Validation_Version
OVERALL,ALL,73,3,30,1.9917478981483359,2.01862537166204,0.013314740759239756,0.5205479452054794,0.4794520547945205,0.0,0.05803683397367402,0.12547641128987305,-0.06743957731619904,-0.06743957731619898,1.0,0.6314248916988644,LEARNING,True,NONE,handedness-matchup-audit-v1-report-only
PITCHER HAND,L,23,3,17,1.9517688524506902,1.9626027367894978,0.005520161638279431,0.6086956521739131,0.391304347826087,0.0,0.1917439094956274,0.23411696151731398,-0.04237305202168659,-0.04237305202168649,1.0,0.6908212560386474,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
PITCHER HAND,R,50,3,28,2.010138259169253,2.0443957837034095,0.01675679670601699,0.48,0.52,0.0,-0.003468420766424547,0.07550175818525032,-0.07203333741882577,-0.07897017895167473,1.0,0.604102564102564,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
LINEUP STATE,CONFIRMED,72,3,30,2.00769888512045,2.031937327127413,0.0119287350467789,0.5138888888888888,0.4861111111111111,0.0,0.047130722832251094,0.11249463119452141,-0.06536390836227032,-0.06536390836227023,1.0,0.6327160493827161,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
LINEUP STATE,ROSTER_FALLBACK,1,1,1,0.8432768361561216,1.0601645781551907,0.20457931388018918,1.0,0.0,0.0,0.8432768361561216,1.0601645781551907,-0.21688774199906913,-0.2168877419990691,1.0,0.5384615384615384,LEARNING,True,NONE,handedness-matchup-audit-v1-report-only
SPLIT COVERAGE,FULL,73,3,30,1.9917478981483359,2.01862537166204,0.013314740759239756,0.5205479452054794,0.4794520547945205,0.0,0.05803683397367402,0.12547641128987305,-0.06743957731619904,-0.06743957731619898,1.0,0.6314248916988644,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
OPPOSITE-HAND SHARE,67%+,21,3,17,2.198668413088194,2.253604347519729,0.02437692068352485,0.5238095238095238,0.47619047619047616,0.0,0.2778300376773939,0.38380424736346846,-0.10597420968607457,-0.10597420968607454,1.0,0.8042328042328044,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
OPPOSITE-HAND SHARE,45–66%,39,3,24,1.9356319907019304,1.9736804702809656,0.019277932852838534,0.5641025641025641,0.4358974358974359,0.0,0.24473598196300303,0.28723167130849664,-0.04249568934549361,-0.04249568934549353,1.0,0.6120973044049969,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
OPPOSITE-HAND SHARE,<45%,13,3,10,1.825839404046244,1.77387865326592,-0.029292167581281864,0.38461538461538464,0.6153846153846154,0.0,-0.8571111698233991,-0.7770881808848824,0.08002298893851667,-0.08002298893851635,1.0,0.4102564102564103,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
ADJUSTMENT DIRECTION,BOOST,24,3,11,1.930976845385695,1.9347499478363137,0.0019501757603551044,0.4166666666666667,0.5833333333333334,0.0,-0.1542014998269903,-0.3309504219191934,-0.17674892209220308,0.17674892209220316,1.0,0.6712962962962963,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
ADJUSTMENT DIRECTION,REDUCE,49,3,23,2.0215133117463644,2.0597072119032123,0.018543363802448365,0.5714285714285714,0.42857142857142855,0.0,0.1619903035903259,0.3490324112290076,-0.18704210763868168,-0.18704210763868168,1.0,0.611896040467469,DESCRIPTIVE,True,NONE,handedness-matchup-audit-v1-report-only
