game_date,game_pk,pitcher_id,player,team,opponent,opponent_team_id,game_time,projection_captured_at_utc,hand_context_captured_at_utc,pitcher_hand,lineup_source,lineup_confirmed,lineup_hash,lineup_batters,batter_left,batter_right,batter_switch,batter_unknown,same_hand_batters,opposite_hand_batters,opposite_hand_share,split_available_batters,split_unavailable_batters,split_coverage,matchup_pa,opponent_k_pct,lineage,audit_eligible,reason,report_only,production_authority,capture_version
2026-08-18,824803,607074,Carlos Rodón,NYY,BAL,110,2026-08-18T22:35:00+00:00,2026-08-18T04:21:34.875130+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,4,8,1,0,4,9,0.6923076923076923,13,0,1.0,1023.0,26.588465298142715,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824803,669358,Shane Baz,BAL,NYY,147,2026-08-18T22:35:00+00:00,2026-08-18T04:21:36.060022+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,7,6,0,0,6,7,0.5384615384615384,13,0,1.0,2688.0,24.18154761904762,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823341,672456,Keider Montero,DET,PIT,134,2026-08-18T22:40:00+00:00,2026-08-18T04:21:36.539744+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,4,7,2,0,7,6,0.4615384615384615,13,0,1.0,2548.0,22.605965463108323,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823341,677952,Braxton Ashcraft,PIT,DET,116,2026-08-18T22:40:00+00:00,2026-08-18T04:21:37.715492+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,12,5,7,0,0,7,5,0.4166666666666667,12,0,1.0,2240.0,19.642857142857142,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824398,687931,Carson Whisenhunt,SFG,CLE,114,2026-08-18T22:40:00+00:00,2026-08-18T04:21:38.335869+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,5,3,5,0,5,8,0.6153846153846154,13,0,1.0,1245.0,18.95582329317269,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824398,656492,Foster Griffin,CLE,SFG,137,2026-08-18T22:40:00+00:00,2026-08-18T04:21:39.479635+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,12,5,7,0,0,5,7,0.5833333333333334,12,0,1.0,694.0,26.36887608069165,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824475,681517,Kyle Leahy,STL,CIN,113,2026-08-18T22:40:00+00:00,2026-08-18T04:21:39.976561+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,3,8,2,0,8,5,0.3846153846153846,13,0,1.0,2687.0,25.344250093040564,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824475,671096,Andrew Abbott,CIN,STL,138,2026-08-18T22:40:00+00:00,2026-08-18T04:21:41.201941+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,5,8,0,0,5,8,0.6153846153846154,13,0,1.0,1212.0,17.904290429042906,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,822938,667755,José Soriano,TOR,TBR,139,2026-08-18T22:40:00+00:00,2026-08-18T04:21:41.640006+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,6,6,1,0,6,7,0.5384615384615384,13,0,1.0,3225.0,17.42635658914729,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,822938,607259,Nick Martinez,TBR,TOR,141,2026-08-18T22:40:00+00:00,2026-08-18T04:21:42.880843+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,12,5,6,1,0,6,6,0.5,12,0,1.0,2363.0,18.874312314854,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823423,806188,Cade Gibson,MIA,PHI,143,2026-08-18T22:40:00+00:00,2026-08-18T04:21:43.493345+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,7,6,0,0,7,6,0.4615384615384615,13,0,1.0,1475.0,21.83050847457627,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823423,554430,Zack Wheeler,PHI,MIA,146,2026-08-18T22:40:00+00:00,2026-08-18T04:21:44.684123+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,5,7,1,0,7,6,0.4615384615384615,13,0,1.0,2654.0,20.64807837226828,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824723,518876,Merrill Kelly,ARI,BOS,111,2026-08-18T23:10:00+00:00,2026-08-18T04:21:45.212075+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,2,7,4,0,7,6,0.4615384615384615,13,0,1.0,2699.0,21.415339014449795,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824723,624133,Ranger Suarez,BOS,ARI,109,2026-08-18T23:10:00+00:00,2026-08-18T04:21:46.467986+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,3,7,3,0,3,10,0.7692307692307693,13,0,1.0,999.0,17.51751751751752,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823586,592662,Robbie Ray,SDP,NYM,121,2026-08-18T23:10:00+00:00,2026-08-18T04:21:46.956114+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,4,7,2,0,4,9,0.6923076923076923,13,0,1.0,935.0,24.49197860962567,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823586,804267,Zac Thornton,NYM,SDP,135,2026-08-18T23:10:00+00:00,2026-08-18T04:21:59.787866+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,4,8,1,0,4,9,0.6923076923076923,13,0,1.0,1026.0,21.24756335282651,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824075,678022,Jack Perkins,ATH,KCR,118,2026-08-18T23:40:00+00:00,2026-08-18T04:22:00.479996+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,6,6,1,0,6,7,0.5384615384615384,13,0,1.0,2841.0,20.520943329813445,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823667,641816,Tyler Mahle,ATL,MIN,142,2026-08-18T23:40:00+00:00,2026-08-18T04:22:13.339873+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,3,7,3,0,7,6,0.4615384615384615,13,0,1.0,2798.0,19.799857040743387,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823667,805673,Zebby Matthews,MIN,ATL,144,2026-08-18T23:40:00+00:00,2026-08-18T04:22:14.514387+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,6,6,1,0,6,7,0.5384615384615384,13,0,1.0,2951.0,21.72145035581159,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823749,682243,Bryce Miller,SEA,MIL,158,2026-08-18T23:40:00+00:00,2026-08-18T04:22:15.040452+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,5,7,1,0,7,6,0.4615384615384615,13,0,1.0,2858.0,23.02309307207837,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823749,690986,Kyle Harrison,MIL,SEA,136,2026-08-18T23:40:00+00:00,2026-08-18T04:22:27.867034+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,4,6,3,0,4,9,0.6923076923076923,13,0,1.0,1155.0,21.991341991342,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,822859,800600,Jackson Kent,WSH,TEX,140,2026-08-19T00:05:00+00:00,2026-08-18T04:22:28.407750+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,6,7,0,0,6,7,0.5384615384615384,13,0,1.0,904.0,25.22123893805309,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,822859,615698,Cal Quantrill,TEX,WSH,120,2026-08-19T00:05:00+00:00,2026-08-18T04:22:41.451034+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,5,6,2,0,6,7,0.5384615384615384,13,0,1.0,2345.0,20.38379530916844,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824639,592332,Kevin Gausman,CHC,CHW,145,2026-08-19T00:05:00+00:00,2026-08-18T04:22:42.026026+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,5,6,2,0,6,7,0.5384615384615384,13,0,1.0,2974.0,23.503698722259585,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824154,691946,George Klassen,LAA,HOU,117,2026-08-19T00:10:00+00:00,2026-08-18T04:22:43.362569+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,4,9,0,0,9,4,0.3076923076923077,13,0,1.0,3116.0,20.346598202824133,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824154,664299,Cristian Javier,HOU,LAA,108,2026-08-19T00:10:00+00:00,2026-08-18T04:22:44.706418+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,5,7,1,0,7,6,0.4615384615384615,13,0,1.0,2492.0,23.996789727126806,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824319,641778,Eric Lauer,LAD,COL,115,2026-08-19T00:40:00+00:00,2026-08-18T04:22:45.217987+00:00,2026-08-18T04:22:51.230911+00:00,L,ACTIVE_ROSTER,False,,13,6,4,3,0,6,7,0.5384615384615384,13,0,1.0,1079.0,24.55977757182576,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824319,663372,Ryan Feltner,COL,LAD,119,2026-08-19T00:40:00+00:00,2026-08-18T04:22:46.434251+00:00,2026-08-18T04:22:51.230911+00:00,R,ACTIVE_ROSTER,False,,13,6,6,1,0,6,7,0.5384615384615384,13,0,1.0,2719.0,20.301581463773445,PRE_GAME_ACTIVE_ROSTER,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824803,607074,Carlos Rodón,NYY,BAL,110,2026-08-18T22:35:00+00:00,2026-08-18T19:42:23.099722+00:00,2026-08-18T19:42:30.531085+00:00,L,CONFIRMED_LINEUP,True,05cbe794c6de779d,9,2,6,1,0,2,7,0.7777777777777778,9,0,1.0,846.0,25.322880581845425,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824803,669358,Shane Baz,BAL,NYY,147,2026-08-18T22:35:00+00:00,2026-08-18T19:42:23.395228+00:00,2026-08-18T19:42:30.531085+00:00,R,CONFIRMED_LINEUP,True,d9d9b2cd68418db0,9,7,2,0,0,2,7,0.7777777777777778,9,0,1.0,2170.0,24.43381865349852,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823341,677952,Braxton Ashcraft,PIT,DET,116,2026-08-18T22:40:00+00:00,2026-08-18T19:42:23.826158+00:00,2026-08-18T19:42:30.531085+00:00,R,CONFIRMED_LINEUP,True,23513c4dca5f6ab3,9,5,4,0,0,4,5,0.5555555555555556,9,0,1.0,1753.0,20.55205269087232,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824398,687931,Carson Whisenhunt,SFG,CLE,114,2026-08-18T22:40:00+00:00,2026-08-18T19:42:24.146095+00:00,2026-08-18T19:42:30.531085+00:00,L,CONFIRMED_LINEUP,True,a0a25600487a90a3,9,2,2,5,0,2,7,0.7777777777777778,9,0,1.0,953.0,20.724142860867417,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824398,656492,Foster Griffin,CLE,SFG,137,2026-08-18T22:40:00+00:00,2026-08-18T19:42:24.445465+00:00,2026-08-18T19:42:30.531085+00:00,L,CONFIRMED_LINEUP,True,38d60bd650da96dc,9,3,6,0,0,3,6,0.6666666666666666,9,0,1.0,423.0,24.849948372494257,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824475,681517,Kyle Leahy,STL,CIN,113,2026-08-18T22:40:00+00:00,2026-08-18T19:42:24.730538+00:00,2026-08-18T19:42:30.531085+00:00,R,CONFIRMED_LINEUP,True,27a5d56eb2f5e36d,9,2,6,1,0,6,3,0.3333333333333333,9,0,1.0,2224.0,25.144474438435918,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824475,671096,Andrew Abbott,CIN,STL,138,2026-08-18T22:40:00+00:00,2026-08-18T19:42:25.019681+00:00,2026-08-18T19:42:30.531085+00:00,L,CONFIRMED_LINEUP,True,18e693e18acae81a,9,2,7,0,0,2,7,0.7777777777777778,9,0,1.0,1060.0,19.399353336394565,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,822938,667755,José Soriano,TOR,TBR,139,2026-08-18T22:40:00+00:00,2026-08-18T19:42:25.327574+00:00,2026-08-18T19:42:30.531085+00:00,R,CONFIRMED_LINEUP,True,801a2c417c8b8de5,9,6,2,1,0,2,7,0.7777777777777778,9,0,1.0,2774.0,18.475063138022666,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,822938,607259,Nick Martinez,TBR,TOR,141,2026-08-18T22:40:00+00:00,2026-08-18T19:42:25.639372+00:00,2026-08-18T19:42:30.531085+00:00,R,CONFIRMED_LINEUP,True,9837f6fec2c1b680,9,5,4,0,0,4,5,0.5555555555555556,9,0,1.0,2078.0,19.182688091506847,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,823423,806188,Cade Gibson,MIA,PHI,143,2026-08-18T22:40:00+00:00,2026-08-18T19:42:25.974351+00:00,2026-08-18T19:42:30.531085+00:00,L,CONFIRMED_LINEUP,True,50f3d594efc43804,9,6,3,0,0,6,3,0.3333333333333333,9,0,1.0,1237.0,20.93145952161677,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
2026-08-18,824723,518876,Merrill Kelly,ARI,BOS,111,2026-08-18T23:10:00+00:00,2026-08-18T19:42:26.396030+00:00,2026-08-18T19:42:30.531085+00:00,R,CONFIRMED_LINEUP,True,3d72c513ed8f6d0b,9,2,4,3,0,4,5,0.5555555555555556,9,0,1.0,2362.0,20.66461421413838,PRE_GAME_CONFIRMED_MATCH,True,,True,NONE,handedness-matchup-context-v1
