Component,Present,Metric,Resolved_Starts,MAE,Bias,Audit_Version
iq_lineup_confirmed,False,STRIKEOUTS,78,1.79207477864049,0.25056119425428885,input-quality-v1-report-only
iq_lineup_confirmed,False,HITS,3,2.348028916681822,1.2801532118462153,input-quality-v1-report-only
iq_lineup_confirmed,False,OUTS,3,4.157642355879887,-2.3798696268543016,input-quality-v1-report-only
iq_lineup_confirmed,True,STRIKEOUTS,45,1.920442253715572,0.5783316808084893,input-quality-v1-report-only
iq_lineup_confirmed,True,HITS,45,1.8270420409136714,0.1154340695088314,input-quality-v1-report-only
iq_lineup_confirmed,True,OUTS,45,3.300778001680928,0.10964124672048486,input-quality-v1-report-only
iq_history_5p,False,STRIKEOUTS,79,1.7679134356020947,0.3568129991082063,input-quality-v1-report-only
iq_history_5p,False,HITS,4,2.061783656031526,1.436304121541919,input-quality-v1-report-only
iq_history_5p,False,OUTS,4,5.417209767572225,0.5826402324277744,input-quality-v1-report-only
iq_history_5p,True,STRIKEOUTS,44,1.9667402895134893,0.39501072406064214,input-quality-v1-report-only
iq_history_5p,True,HITS,44,1.841223726523513,0.07476764266519051,input-quality-v1-report-only
iq_history_5p,True,OUTS,44,3.1667976834771028,-0.10309803881482237,input-quality-v1-report-only
iq_workload_5p,False,STRIKEOUTS,79,1.7679134356020947,0.3568129991082063,input-quality-v1-report-only
iq_workload_5p,False,HITS,4,2.061783656031526,1.436304121541919,input-quality-v1-report-only
iq_workload_5p,False,OUTS,4,5.417209767572225,0.5826402324277744,input-quality-v1-report-only
iq_workload_5p,True,STRIKEOUTS,44,1.9667402895134893,0.39501072406064214,input-quality-v1-report-only
iq_workload_5p,True,HITS,44,1.841223726523513,0.07476764266519051,input-quality-v1-report-only
iq_workload_5p,True,OUTS,44,3.1667976834771028,-0.10309803881482237,input-quality-v1-report-only
iq_weather_present,False,STRIKEOUTS,75,1.7765860140874092,0.34768323567479337,input-quality-v1-report-only
iq_weather_present,True,STRIKEOUTS,48,1.9366204811375691,0.4060928356793134,input-quality-v1-report-only
iq_weather_present,True,HITS,48,1.8596037206491804,0.18822901590491783,input-quality-v1-report-only
iq_weather_present,True,OUTS,48,3.3543320238183623,-0.04595318287793926,input-quality-v1-report-only
iq_role_present,False,STRIKEOUTS,108,1.8104174836145732,0.36786847819433527,input-quality-v1-report-only
iq_role_present,False,HITS,33,1.9152790841197511,-0.0995384368811993,input-quality-v1-report-only
iq_role_present,False,OUTS,33,3.10153613317965,-0.18781088816093486,input-quality-v1-report-only
iq_role_present,True,STRIKEOUTS,15,2.045109728052341,0.3892602095485562,input-quality-v1-report-only
iq_role_present,True,HITS,15,1.737117921013926,0.8213174120343756,input-quality-v1-report-only
iq_role_present,True,OUTS,15,3.910482983223531,0.26613376874465094,input-quality-v1-report-only
