Dimension,Cohort,Resolved_Calls,Ladder_Win_Rate,Probability_Coverage,Avg_Target_Probability,Calibration_Gap,Brier_Score,Signal,Report_Only,Production_Authority,Research_Version
Confidence,HIGH,233,0.6008583690987125,1.0,0.6473845249240749,0.04652615582536246,0.24177041578230327,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Confidence,MEDIUM,33,0.5454545454545454,1.0,0.6545264161069916,0.10907187065244617,0.25217671828526084,CALIBRATION_WATCH,True,NONE,k-ladder-reliability-shadow-v1-report-only
Data Quality,75-89,138,0.6086956521739131,1.0,0.6521616404547628,0.04346598828084969,0.23843244427140844,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Data Quality,50-74,115,0.5739130434782609,1.0,0.641466782797214,0.06755373931895314,0.24981412115993734,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Data Quality,<50,15,0.6,1.0,0.6570648680422162,0.05706486804221622,0.2358241793854831,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Opponent K Environment,LOW_K_<22,156,0.5641025641025641,1.0,0.643392448000142,0.07928988389757785,0.2536421717322735,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Opponent K Environment,MID_K_22-24.9,103,0.6407766990291263,1.0,0.6552306524293989,0.014453953400272668,0.2239113303133752,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Opponent K Environment,HIGH_K_25+,9,0.5555555555555556,1.0,0.6405533707577618,0.08499781520220617,0.28206868012412145,LEARNING,True,NONE,k-ladder-reliability-shadow-v1-report-only
Projection Headroom,0.00-0.24,77,0.5194805194805194,1.0,0.5855316484092946,0.06605112892877518,0.259461155764665,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Projection Headroom,0.50-0.74,68,0.5588235294117647,1.0,0.6740607870493541,0.11523725763758941,0.26182716563680614,CALIBRATION_WATCH,True,NONE,k-ladder-reliability-shadow-v1-report-only
Projection Headroom,0.25-0.49,65,0.6,1.0,0.6298315077351173,0.029831507735117335,0.23906588485553773,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Projection Headroom,0.75-0.99,58,0.7241379310344828,1.0,0.7200317409554435,-0.004106190079039229,0.20426939932478333,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Target,4+,127,0.5433070866141733,1.0,0.663308662386597,0.12000157577242376,0.25517373838943264,CALIBRATION_WATCH,True,NONE,k-ladder-reliability-shadow-v1-report-only
Target,5+,113,0.6371681415929203,1.0,0.6243153670554642,-0.012852774537456146,0.23072273649973352,CALIBRATION_STABLE,True,NONE,k-ladder-reliability-shadow-v1-report-only
Target,3+,22,0.5454545454545454,1.0,0.6834794371239404,0.13802489166939502,0.2668004249956338,CALIBRATION_WATCH,True,NONE,k-ladder-reliability-shadow-v1-report-only
