Game_Date,Pitcher,Pitcher_ID,Projection,K_Target,Target_Label,Projection_Headroom,Actual_K,Ladder_Win,Target_Probability,Brier,Confidence,Data_Quality,Opponent_K_Pct,Headroom_Bucket,Quality_Bucket,Opponent_K_Bucket,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-12,Shane Baz,669358,5.076665598251974,5,5+,0.07666559825197439,2.0,False,0.5819433961528153,0.33865811632587256,HIGH,78,19.91064396674875,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Zebby Matthews,805673,5.292388596361408,5,5+,0.2923885963614081,4.0,False,0.6196122779817503,0.38391937502573387,HIGH,66,24.08718085532845,0.25-0.49,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Zack Wheeler,554430,5.113708402473249,5,5+,0.11370840247324931,5.0,True,0.563426552189235,0.19059637533337875,HIGH,72,20.53769145149315,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Kyle Leahy,681517,4.434771817643135,4,4+,0.434771817643135,6.0,True,0.6391974692760674,0.13017846617679435,HIGH,77,19.929025187140027,0.25-0.49,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Drew Rasmussen,656876,5.378819291726495,5,5+,0.3788192917264954,3.0,False,0.6083779529482816,0.3701237336335415,HIGH,77,21.92034834421512,0.25-0.49,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Ryan Feltner,663372,4.26334716437203,4,4+,0.2633471643720302,2.0,False,0.6131744912036347,0.3759829566628362,HIGH,70,20.77272576600542,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Merrill Kelly,518876,4.583344702255669,4,4+,0.583344702255669,2.0,False,0.6809609230604788,0.4637077787353794,HIGH,76,22.60657328351401,0.50-0.74,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Dustin May,669160,4.859837383413874,4,4+,0.8598373834138737,6.0,True,0.702496442328423,0.08850836682724533,HIGH,77,21.0865526766236,0.75-0.99,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Robbie Ray,592662,5.052324860965883,5,5+,0.05232486096588307,4.0,False,0.5750979807137603,0.3307376874210446,HIGH,77,21.756618571873823,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Foster Griffin,656492,5.372364059781617,5,5+,0.37236405978161713,3.0,False,0.6223546834230687,0.387325351978628,HIGH,78,22.392070840080606,0.25-0.49,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Framber Valdez,664285,4.726033431720969,4,4+,0.7260334317209693,3.0,False,0.6885893560819438,0.474155301309346,HIGH,78,19.34307140209807,0.50-0.74,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Carmen Mlodzinski,669387,4.0459259725286,4,4+,0.04592597252860031,1.0,False,0.5560886761268533,0.30923461571651634,HIGH,77,22.966764439993938,0.00-0.24,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Janson Junk,676083,4.180725412905703,4,4+,0.1807254129057032,2.0,False,0.6045156892571746,0.3654392185580769,HIGH,68,21.930684212284863,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,David Peterson,656849,4.793542729116886,4,4+,0.7935427291168864,6.0,True,0.7160261690770915,0.08064113664903264,HIGH,66,22.59412762184728,0.75-0.99,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Bryce Miller,682243,5.483300285566592,5,5+,0.48330028556659244,5.0,True,0.6183372284393098,0.14566647119538756,HIGH,64,24.294908813442703,0.25-0.49,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Will Warren,701542,4.830626519208324,4,4+,0.830626519208324,3.0,False,0.69494595344522,0.48294987820988594,HIGH,77,21.13687840942258,0.75-0.99,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Ranger Suarez,624133,4.477654017973988,4,4+,0.4776540179739879,2.0,False,0.6330036996323811,0.4006936837482818,HIGH,74,20.777209856279946,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,José Soriano,667755,4.925171926160614,4,4+,0.9251719261606137,4.0,True,0.7211944765938026,0.07773251988180366,HIGH,78,20.352762774494312,0.75-0.99,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Zac Thornton,804267,4.434887433347578,4,4+,0.43488743334757807,2.0,False,0.6571211743708258,0.4318082378064933,MEDIUM,54,21.161049756070145,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Tyler Mahle,641816,5.086881035303266,5,5+,0.08688103530326607,7.0,True,0.5805835432094619,0.17591016422672928,HIGH,72,22.211407186781944,0.00-0.24,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Rhett Lowder,695076,4.845516739681388,4,4+,0.8455167396813881,4.0,True,0.7146911893864759,0.08140111741370376,HIGH,70,24.300118067490644,0.75-0.99,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Luis Castillo,622491,5.077414760392842,5,5+,0.07741476039284212,10.0,True,0.5781477995191002,0.17795927905057726,HIGH,71,24.350602776478613,0.00-0.24,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Daniel Lynch IV,663738,3.0354843043145308,3,3+,0.03548430431453076,3.0,True,0.585581149144816,0.17174298394413126,MEDIUM,48,19.750322130100702,0.00-0.24,<50,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Eric Lauer,641778,4.161318077633911,4,4+,0.16131807763391137,6.0,True,0.5905227218524004,0.16767164131916665,HIGH,66,21.08398025293156,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Cal Quantrill,615698,4.138202343473262,4,4+,0.138202343473262,6.0,True,0.5966460225586075,0.16269443111779133,HIGH,79,23.321711632958632,0.00-0.24,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,George Klassen,691946,3.858255496642796,3,3+,0.858255496642796,5.0,True,0.7510696755503042,0.0619663064306308,MEDIUM,48,23.32912180234725,0.75-0.99,<50,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
