Dimension,Segment,Rows,Authentic_Pregame_Pairs,OOS_Paired_Starts,Observed_Days,Distinct_Opponents,Preconfirm_MAE,Confirmed_MAE,Relative_MAE_Improvement,Confirmed_Win_Share,Confirmed_Loss_Share,Preconfirm_Bias,Confirmed_Bias,Mean_Absolute_Projection_Delta,Evidence,Reason,Report_Only,Production_Authority,Validation_Version
OVERALL,ALL CONFIRMED LINEUP PAIRS,371,251,223,10,30,1.7996139744368964,1.7905351015293793,0.005044900204421828,0.5336322869955157,0.4663677130044843,0.144378696271939,0.16714728337025195,0.09342763263791941,SUPPORTED,"Authentic walk-forward sample clears the minimum MAE, win-share, and bias guardrails.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
LINEAGE,POST_START_CAPTURE,6,0,0,0,0,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
LINEAGE,PRE_GAME_CAPTURE,280,251,223,10,30,1.7996139744368964,1.7905351015293793,0.005044900204421828,0.5336322869955157,0.4663677130044843,0.144378696271939,0.16714728337025195,0.09342763263791941,SUPPORTED,"Authentic walk-forward sample clears the minimum MAE, win-share, and bias guardrails.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
LINEAGE,UNCONFIRMED,85,0,0,0,0,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
OUTCOME LINEAGE,RESOLVED_AFTER_START,346,251,223,10,30,1.7996139744368964,1.7905351015293793,0.005044900204421828,0.5336322869955157,0.4663677130044843,0.144378696271939,0.16714728337025195,0.09342763263791941,SUPPORTED,"Authentic walk-forward sample clears the minimum MAE, win-share, and bias guardrails.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
OUTCOME LINEAGE,UNRESOLVED,25,0,0,0,0,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA DIRECTION,DOWN,115,106,88,10,23,1.7455474197626897,1.728557266803489,0.00973342389146354,0.6022727272727273,0.3977272727272727,0.32911819893737043,0.24016103253588925,0.0889571664014812,SUPPORTED,"Authentic walk-forward sample clears the minimum MAE, win-share, and bias guardrails.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA DIRECTION,NEUTRAL,15,15,15,9,11,1.8776474520739406,1.877860696005601,-0.00011356973931656243,0.4666666666666667,0.5333333333333333,0.8379623621002646,0.8356539253365515,0.004391954481057425,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 15, 9, and 11.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA DIRECTION,UNKNOWN,100,0,0,0,0,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA DIRECTION,UP,141,130,120,9,28,1.8295085964933506,1.8250698143521713,0.002426215514749265,0.49166666666666664,0.5083333333333333,-0.07779489724458474,0.03004053706966377,0.10783543431424851,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 120, 9, and 28.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA BAND,0.05–0.14 K,115,107,100,10,28,1.7469269308622029,1.7443919182654235,0.0014511268628323141,0.53,0.47,0.13870827933168,0.1520218645588867,0.09184975775985289,CAUTION,"Sample is large enough to evaluate, but the confirmed-lineup signal does not clear every support guardrail.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA BAND,0.15–0.29 K,52,48,34,8,19,1.7914017134488665,1.7745142353432901,0.00942696324269111,0.5294117647058824,0.47058823529411764,-0.09666374894862556,-0.07275078640818625,0.1998260971208447,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 34, 8, and 19.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA BAND,0.30+ K,11,9,8,4,5,2.0240237567990436,1.9026147330132348,0.0599839914813129,0.625,0.375,-1.1043355335830687,-0.7487989920699432,0.3555365415131255,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 8, 4, and 5.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA BAND,<0.05 K,93,87,81,10,24,1.8459429000191834,1.8431572092435986,0.0015090882689577348,0.5308641975308642,0.4691358024691358,0.37588732183200263,0.3769824248162394,0.024827242815518676,CAUTION,"Sample is large enough to evaluate, but the confirmed-lineup signal does not clear every support guardrail.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
PROJECTION DELTA BAND,UNKNOWN,100,0,0,0,0,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
QUALITY BAND,60–69,84,51,44,10,22,1.5514026513717682,1.567441698413652,-0.01033841667583973,0.4772727272727273,0.5227272727272727,0.17271943210046525,0.1900167626338602,0.0956148797685657,CAUTION,"Enough authentic walk-forward volume exists, but confirmed-lineup updates do not clear the MAE, win-share, or bias guardrails.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
QUALITY BAND,70–79,203,173,155,10,30,1.8475429645708543,1.8273756838932012,0.010915730277665073,0.5612903225806452,0.43870967741935485,0.049909955950177304,0.077685909261093,0.09794803565661475,SUPPORTED,"Authentic walk-forward sample clears the minimum MAE, win-share, and bias guardrails.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
QUALITY BAND,80–89,2,0,0,0,0,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
QUALITY BAND,90+,16,0,0,0,0,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
QUALITY BAND,<60,66,27,24,8,19,1.945126672107822,1.9616109128085297,-0.008474636092900176,0.4583333333333333,0.5416666666666666,0.7025312951643518,0.7029912791752878,0.060223410069327056,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 24, 8, and 19.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
STARTER HISTORY BAND,0–2,13,5,5,4,5,1.3222681675910108,1.328691962165951,-0.0048581632171054955,0.8,0.2,0.4728859268367517,0.428019341408433,0.05824094910257092,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 5, 4, and 5.",True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
