Feature,Pregame_Only,Market_Data,Outcome_Data,Version
opponent_k_pct,True,False,False,ml-k-shadow-v1-report-only
starter_history_games,True,False,False,ml-k-shadow-v1-report-only
expected_pitches,True,False,False,ml-k-shadow-v1-report-only
expected_bf,True,False,False,ml-k-shadow-v1-report-only
expected_outs,True,False,False,ml-k-shadow-v1-report-only
workload_bf_sd,True,False,False,ml-k-shadow-v1-report-only
workload_outs_sd,True,False,False,ml-k-shadow-v1-report-only
workload_pitch_sd,True,False,False,ml-k-shadow-v1-report-only
recent_pitches,True,False,False,ml-k-shadow-v1-report-only
recent_bf,True,False,False,ml-k-shadow-v1-report-only
recent_outs,True,False,False,ml-k-shadow-v1-report-only
pitches_per_bf,True,False,False,ml-k-shadow-v1-report-only
outs_per_bf,True,False,False,ml-k-shadow-v1-report-only
days_since_last_start,True,False,False,ml-k-shadow-v1-report-only
workload_rest_multiplier,True,False,False,ml-k-shadow-v1-report-only
pitch_trend,True,False,False,ml-k-shadow-v1-report-only
bf_trend,True,False,False,ml-k-shadow-v1-report-only
outs_trend,True,False,False,ml-k-shadow-v1-report-only
leash_index,True,False,False,ml-k-shadow-v1-report-only
matchup_pa,True,False,False,ml-k-shadow-v1-report-only
matchup_batters,True,False,False,ml-k-shadow-v1-report-only
lineup_batters,True,False,False,ml-k-shadow-v1-report-only
opponent_hit_rate,True,False,False,ml-k-shadow-v1-report-only
team_leash_starts,True,False,False,ml-k-shadow-v1-report-only
team_leash_avg_pitches,True,False,False,ml-k-shadow-v1-report-only
team_leash_avg_bf,True,False,False,ml-k-shadow-v1-report-only
team_leash_avg_outs,True,False,False,ml-k-shadow-v1-report-only
team_leash_quick_hook_rate,True,False,False,ml-k-shadow-v1-report-only
team_leash_tto_reach_rate,True,False,False,ml-k-shadow-v1-report-only
team_leash_90_pitch_rate,True,False,False,ml-k-shadow-v1-report-only
umpire_prior_games,True,False,False,ml-k-shadow-v1-report-only
umpire_prior_k_rate,True,False,False,ml-k-shadow-v1-report-only
umpire_league_prior_k_rate,True,False,False,ml-k-shadow-v1-report-only
umpire_k_factor_candidate,True,False,False,ml-k-shadow-v1-report-only
