game_date,game_pk,pitcher_id,player,team,opponent,Training_Resolved_Starts,Feature_Count,Existing_Projection,ML_Shadow_Projection,SIM_Mean,MATH_Mean,Three_Path_Candidate,Report_Only,Validation_Version
2026-08-20,822861,674841,Andrew Alvarez,WSH,TEX,219,34,4.674530550669843,3.872624434864434,4.68244,4.666621101339686,4.40722851206804,True,ml-k-shadow-v1-report-only
2026-08-20,824589,641743,Anthony Kay,CHW,ATL,219,34,4.405738416407461,3.959077313209459,4.40988,4.4015968328149215,4.256851382008127,True,ml-k-shadow-v1-report-only
2026-08-20,824474,663903,Brady Singer,CIN,STL,219,34,4.975886953872402,5.704881520937957,4.999,4.952773907744804,5.218885142894254,True,ml-k-shadow-v1-report-only
2026-08-20,824074,695611,Gage Jump,ATH,KCR,219,34,5.080170290147141,4.873568483235551,5.08492,5.075420580294281,5.011303021176611,True,ml-k-shadow-v1-report-only
2026-08-20,824395,668909,Gavin Williams,CLE,SFG,219,34,5.8766220812787004,6.4489558085170335,5.88432,5.8689241625574,6.067399990358145,True,ml-k-shadow-v1-report-only
2026-08-20,823747,669923,George Kirby,SEA,MIL,219,34,5.286973779772754,4.290686176437437,5.29592,5.278027559545508,4.954877911994315,True,ml-k-shadow-v1-report-only
2026-08-20,824802,543037,Gerrit Cole,NYY,BAL,219,34,6.024776525994982,3.880961132783404,6.0348,6.014753051989964,5.310171394924456,True,ml-k-shadow-v1-report-only
2026-08-20,824589,656550,Grant Holmes,ATL,CHW,219,34,4.405485902472372,3.6197399686703173,4.40812,4.402851804944744,4.1435705912050205,True,ml-k-shadow-v1-report-only
2026-08-20,824153,680570,Grayson Rodriguez,LAA,HOU,219,34,4.285754781735507,4.4363375248982155,4.29328,4.278229563471015,4.33594902945641,True,ml-k-shadow-v1-report-only
2026-08-20,822934,693855,Ian Seymour,TBR,TOR,219,34,5.177023303035572,4.988592157121166,5.19288,5.161166606071143,5.114212921064103,True,ml-k-shadow-v1-report-only
2026-08-20,822861,594798,Jacob deGrom,TEX,WSH,219,34,4.90042562628156,3.9252160431371506,4.91048,4.890371252563121,4.575355765233424,True,ml-k-shadow-v1-report-only
2026-08-20,824802,680694,Kyle Bradish,BAL,NYY,219,34,5.271686292984931,4.4467895253871905,5.279,5.264372585969862,4.996720703785685,True,ml-k-shadow-v1-report-only
2026-08-20,824395,694738,Landen Roupp,SFG,CLE,219,34,4.892290798953244,4.919345936810127,4.90876,4.875821597906487,4.901309178238872,True,ml-k-shadow-v1-report-only
2026-08-20,824474,700241,Michael McGreevy,STL,CIN,219,34,4.830287037029995,6.503489110085675,4.8506,4.80997407405999,5.388021061381888,True,ml-k-shadow-v1-report-only
2026-08-20,824153,663567,Peter Lambert,HOU,LAA,219,34,5.502716143926206,4.776348804744744,5.51148,5.493952287852412,5.260593697532385,True,ml-k-shadow-v1-report-only
2026-08-20,824074,677976,Randy Dobnak,KCR,ATH,219,34,4.310384804313873,4.28454821073886,4.31712,4.303649608627747,4.301772606455535,True,ml-k-shadow-v1-report-only
2026-08-20,823747,688107,Robert Gasser,MIL,SEA,219,34,5.148327246917248,4.972215447308657,5.1624,5.134254493834496,5.089623313714384,True,ml-k-shadow-v1-report-only
2026-08-20,822934,669456,Shane Bieber,TOR,TBR,219,34,4.371613704416658,3.7953178455410113,4.37596,4.367267408833317,4.179515084791443,True,ml-k-shadow-v1-report-only
