game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Matchup_PA,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Applied_Projection,Matchup_Adjustment_K,Actual_Strikeouts,Cap_K,Capped_Adjustment_K,Cap_Was_Binding,Capped_Projection,Applied_Absolute_Error,Capped_Absolute_Error,Neutral_Absolute_Error,Applied_Error,Capped_Error,Neutral_Error,Capped_Win_vs_Applied,Applied_Win_vs_Capped,Capped_Applied_Tie,Capped_Win_vs_Neutral,Neutral_Win_vs_Capped,Capped_Neutral_Tie,Evidence_Lane,Counts_For_Promotion,Report_Only,Production_Authority,Validation_Version
2026-08-12,823672,805673,Zebby Matthews,MIN,BAL,0.2408718085532845,1.6871808553284515,1687.0,CONFIRMED,66,60–69,5.103671903583426,5.292388596361408,0.1887166927779819,4.0,0.1,0.1,True,5.203671903583426,1.2923885963614081,1.2036719035834258,1.1036719035834262,1.2923885963614081,1.2036719035834258,1.1036719035834262,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-12,823833,669387,Carmen Mlodzinski,PIT,MIA,0.2296676443999393,0.5667644399939359,2073.0,CONFIRMED,77,70–79,3.995692269901818,4.0459259725286,0.0502337026267825,1.0,0.1,0.0502337026267825,False,4.0459259725286,3.0459259725286003,3.0459259725286003,2.995692269901818,3.0459259725286003,3.0459259725286003,2.995692269901818,False,False,True,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-12,823511,682243,Bryce Miller,SEA,NYY,0.242949088134427,1.8949088134427028,2035.0,CONFIRMED,64,60–69,5.265121560506034,5.483300285566592,0.2181787250605582,5.0,0.1,0.1,True,5.365121560506034,0.48330028556659244,0.36512156050603384,0.2651215605060342,0.48330028556659244,0.36512156050603384,0.2651215605060342,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-12,824562,695076,Rhett Lowder,CIN,CHW,0.2430011806749064,1.900118067490644,2198.0,CONFIRMED,70,70–79,4.65221648170295,4.845516739681388,0.1933002579784384,4.0,0.1,0.1,True,4.752216481702949,0.8455167396813881,0.7522164817029493,0.6522164817029497,0.8455167396813881,0.7522164817029493,0.6522164817029497,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-12,824562,622491,Luis Castillo,CHW,CIN,0.2435060277647861,1.950602776478613,1814.0,CONFIRMED,71,70–79,4.869807478115292,5.077414760392842,0.2076072822775501,10.0,0.1,0.1,True,4.969807478115292,4.922585239607158,5.030192521884708,5.130192521884708,-4.922585239607158,-5.030192521884708,-5.130192521884708,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-12,823994,615698,Cal Quantrill,TEX,LAA,0.2332171163295863,0.92171163295863,2075.0,CONFIRMED,79,70–79,4.055603796471237,4.138202343473262,0.0825985470020249,6.0,0.1,0.0825985470020249,False,4.138202343473262,1.861797656526738,1.861797656526738,1.944396203528763,-1.861797656526738,-1.861797656526738,-1.944396203528763,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-12,823994,691946,George Klassen,LAA,TEX,0.2332912180234725,0.9291218023472492,2138.0,CONFIRMED,48,<60,3.78064411316174,3.858255496642796,0.0776113834810559,5.0,0.1,0.0776113834810559,False,3.858255496642796,1.141744503357204,1.141744503357204,1.21935588683826,-1.141744503357204,-1.141744503357204,-1.21935588683826,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-13,824238,800048,Parker Messick,CLE,DET,0.2286229888972531,0.4622988897253099,690.0,CONFIRMED,78,70–79,5.635393813146095,5.693249422713524,0.0578556095674294,6.0,0.1,0.0578556095674294,False,5.693249422713524,0.3067505772864756,0.3067505772864756,0.364606186853905,-0.3067505772864756,-0.3067505772864756,-0.364606186853905,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-13,823508,669302,Logan Gilbert,SEA,NYY,0.2352373323893833,1.1237332389383292,1870.0,CONFIRMED,78,70–79,5.8542326214396505,5.999279409012194,0.1450467875725438,7.0,0.1,0.1,True,5.95423262143965,1.0007205909878056,1.0457673785603498,1.1457673785603495,-1.0007205909878056,-1.0457673785603498,-1.1457673785603495,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-13,823508,608331,Max Fried,NYY,SEA,0.2291229904678114,0.5122990467811478,745.0,CONFIRMED,65,60–69,4.787654316855943,4.8420928252218784,0.0544385083659353,4.0,0.1,0.0544385083659353,False,4.8420928252218784,0.8420928252218784,0.8420928252218784,0.7876543168559431,0.8420928252218784,0.8420928252218784,0.7876543168559431,False,False,True,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-13,824561,663436,Davis Martin,CHW,CIN,0.254054946668788,3.0054946668787967,2058.0,CONFIRMED,78,70–79,4.422142212607431,4.709475301098596,0.2873330884911649,3.0,0.1,0.1,True,4.522142212607431,1.7094753010985961,1.5221422126074309,1.4221422126074312,1.7094753010985961,1.5221422126074309,1.4221422126074312,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-14,824479,645261,Sandy Alcantara,MIA,CIN,0.2552687178603017,3.1268717860301694,2085.0,CONFIRMED,79,70–79,5.591782062845516,5.969322268750199,0.3775402059046833,2.0,0.1,0.1,True,5.691782062845515,3.969322268750199,3.6917820628455154,3.5917820628455157,3.969322268750199,3.6917820628455154,3.5917820628455157,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-14,823346,687562,Jake Bennett,BOS,PIT,0.2293411645468545,0.5341164546854515,817.0,CONFIRMED,64,60–69,5.076484838752455,5.136651373886729,0.0601665351342743,6.0,0.1,0.0601665351342743,False,5.136651373886729,0.8633486261132708,0.8633486261132708,0.9235151612475452,-0.8633486261132708,-0.8633486261132708,-0.9235151612475452,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-14,824237,695549,Jackson Jobe,DET,CHW,0.2316752109781281,0.7675210978128122,2501.0,CONFIRMED,60,60–69,4.433752871917761,4.509072904569642,0.0753200326518808,4.0,0.1,0.0753200326518808,False,4.509072904569642,0.509072904569642,0.509072904569642,0.43375287191776124,0.509072904569642,0.509072904569642,0.43375287191776124,False,False,True,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
