Source_Year,Source_Window_Start_Year,Source_Window_End_Year,Venue,Venue_Normalized,H_Factor,SO_Factor,OBP_Factor,BACON_Factor,PA,Source_URL,Captured_At_UTC,Source_SHA256,Source_Version
2025,2023,2025,American Family Field,american family field,94.0,109.0,98.0,98.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Angel Stadium,angel stadium,98.0,105.0,100.0,101.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Busch Stadium,busch stadium,103.0,91.0,101.0,99.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Chase Field,chase field,105.0,94.0,103.0,102.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Citi Field,citi field,94.0,102.0,99.0,96.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Citizens Bank Park,citizens bank park,101.0,104.0,99.0,101.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Comerica Park,comerica park,100.0,98.0,100.0,100.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Coors Field,coors field,117.0,90.0,111.0,113.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,UNIQLO Field at Dodger Stadium,dodger stadium,97.0,99.0,99.0,98.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Fenway Park,fenway park,107.0,96.0,106.0,107.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Globe Life Field,globe life field,97.0,101.0,97.0,96.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Great American Ball Park,great american ball park,100.0,102.0,101.0,101.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Rate Field,guaranteed rate field,98.0,100.0,100.0,99.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Kauffman Stadium,kauffman stadium,104.0,89.0,102.0,100.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,loanDepot park,loandepot park,103.0,97.0,102.0,102.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Daikin Park,minute maid park,100.0,102.0,100.0,101.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Nationals Park,nationals park,104.0,90.0,102.0,100.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Oracle Park,oracle park,101.0,97.0,97.0,99.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Oriole Park at Camden Yards,oriole park at camden yards,103.0,99.0,99.0,101.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Petco Park,petco park,96.0,102.0,97.0,97.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,PNC Park,pnc park,101.0,96.0,101.0,100.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Progressive Field,progressive field,97.0,102.0,98.0,98.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Rogers Centre,rogers centre,99.0,97.0,100.0,98.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,T-Mobile Park,t mobile park,89.0,116.0,92.0,94.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Target Field,target field,102.0,103.0,102.0,104.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Truist Park,truist park,102.0,106.0,100.0,103.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
2025,2023,2025,Wrigley Field,wrigley field,96.0,103.0,97.0,97.0,,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?batSide=&condition=All&parks=mlb&rolling=3&stat=index_wOBA&type=year&year=2025,2026-08-22T16:59:27.282623+00:00,d2ed1bd17a7d04966c424d5112238fe08fdfff0571ff3e1e0fa5d01864ae27e6,baseball-savant-statcast-park-factors-prior-season-3yr-v1
