game_date,game_pk,pitcher_id,player,team,opponent,game_time,projection_captured_at_utc,arsenal_captured_at_utc,source_game_pks,prior_games_considered,prior_games_with_feed,prior_games_with_pitch_data,feed_failures,raw_pitch_events,typed_pitch_events,typed_pitch_coverage,arsenal_pitch_types,arsenal_usage,pitch_counts_json,pitch_type_descriptions_json,audit_eligible,reason,source,source_endpoint_version,report_only,production_authority,capture_version
2026-08-18,824803,607074,Carlos Rodón,NYY,BAL,2026-08-18T22:35:00+00:00,2026-08-18T04:21:34.875130+00:00,2026-08-18T05:01:02.319659+00:00,824744|824262|823536|824428|823542,5,5,5,0,474,474,1.0,FF|SL|CH|SI|CU,"{""FF"":0.440928,""SL"":0.219409,""CH"":0.187764,""SI"":0.128692,""CU"":0.023207}","{""SI"":61,""CH"":89,""SL"":104,""FF"":209,""CU"":11}","{""FF"":""Four-Seam Fastball"",""SL"":""Slider"",""CH"":""Changeup"",""SI"":""Sinker"",""CU"":""Curveball""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,824803,669358,Shane Baz,BAL,NYY,2026-08-18T22:35:00+00:00,2026-08-18T04:21:36.060022+00:00,2026-08-18T05:01:02.319659+00:00,823672|822863|824808|824810|824736,5,5,5,0,424,424,1.0,FF|KC|FC|CH|SI,"{""FF"":0.353774,""KC"":0.316038,""FC"":0.122642,""CH"":0.108491,""SI"":0.099057}","{""FF"":150,""CH"":46,""FC"":52,""KC"":134,""SI"":42}","{""FF"":""Four-Seam Fastball"",""KC"":""Knuckle Curve"",""FC"":""Cutter"",""CH"":""Changeup"",""SI"":""Sinker""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,823341,672456,Keider Montero,DET,PIT,2026-08-18T22:40:00+00:00,2026-08-18T04:21:36.539744+00:00,2026-08-18T05:01:02.319659+00:00,824238|823191|824971|824245|824650,5,5,5,0,417,417,1.0,FF|SL|SI|CH|KC,"{""FF"":0.280576,""SL"":0.251799,""SI"":0.203837,""CH"":0.143885,""KC"":0.119904}","{""FF"":117,""SL"":105,""CH"":60,""KC"":50,""SI"":85}","{""FF"":""Four-Seam Fastball"",""SL"":""Slider"",""SI"":""Sinker"",""CH"":""Changeup"",""KC"":""Knuckle Curve""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,823341,677952,Braxton Ashcraft,PIT,DET,2026-08-18T22:40:00+00:00,2026-08-18T04:21:37.715492+00:00,2026-08-18T05:01:02.319659+00:00,823829|823754|824485|823354|823522,5,5,5,0,403,403,1.0,FF|CU|SL|SI|FS,"{""FF"":0.310174,""CU"":0.263027,""SL"":0.220844,""SI"":0.166253,""FS"":0.039702}","{""FF"":125,""SI"":67,""SL"":89,""CU"":106,""FS"":16}","{""FF"":""Four-Seam Fastball"",""CU"":""Curveball"",""SL"":""Slider"",""SI"":""Sinker"",""FS"":""Splitter""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,824398,687931,Carson Whisenhunt,SFG,CLE,2026-08-18T22:40:00+00:00,2026-08-18T04:21:38.335869+00:00,2026-08-18T05:01:02.319659+00:00,823186|822866|823272|823194|823201,5,5,5,0,405,405,1.0,CH|FF|SL|SI|SV,"{""CH"":0.377778,""FF"":0.340741,""SL"":0.195062,""SI"":0.05679,""SV"":0.02963}","{""CH"":153,""SV"":12,""SL"":79,""FF"":138,""SI"":23}","{""CH"":""Changeup"",""FF"":""Four-Seam Fastball"",""SL"":""Slider"",""SI"":""Sinker"",""SV"":""Slurve""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,824398,656492,Foster Griffin,CLE,SFG,2026-08-18T22:40:00+00:00,2026-08-18T04:21:39.479635+00:00,2026-08-18T05:01:02.319659+00:00,824241|824401|824892|822704|824978,5,5,5,0,454,454,1.0,FC|FF|ST|CH|SI|CU|FS,"{""FC"":0.330396,""FF"":0.154185,""ST"":0.136564,""CH"":0.110132,""SI"":0.110132,""CU"":0.081498,""FS"":0.077093}","{""FC"":150,""CU"":37,""FS"":35,""FF"":70,""CH"":50,""ST"":62,""SI"":50}","{""FC"":""Cutter"",""FF"":""Four-Seam Fastball"",""ST"":""Sweeper"",""CH"":""Changeup"",""SI"":""Sinker"",""CU"":""Curveball"",""FS"":""Splitter""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,824475,681517,Kyle Leahy,STL,CIN,2026-08-18T22:40:00+00:00,2026-08-18T04:21:39.976561+00:00,2026-08-18T05:01:02.319659+00:00,823017|823024|822782|823028|824006,5,5,5,0,458,458,1.0,FF|SL|CU|CH|ST|SI,"{""FF"":0.21179,""SL"":0.172489,""CU"":0.170306,""CH"":0.157205,""ST"":0.157205,""SI"":0.131004}","{""FF"":97,""SL"":79,""CU"":78,""CH"":72,""ST"":72,""SI"":60}","{""FF"":""Four-Seam Fastball"",""SL"":""Slider"",""CU"":""Curveball"",""CH"":""Changeup"",""ST"":""Sweeper"",""SI"":""Sinker""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,824475,671096,Andrew Abbott,CIN,STL,2026-08-18T22:40:00+00:00,2026-08-18T04:21:41.201941+00:00,2026-08-18T05:01:02.319659+00:00,824561|824481|824485|823028|823112,5,5,5,0,479,479,1.0,FF|CH|ST|CU|FC,"{""FF"":0.402923,""CH"":0.221294,""ST"":0.187891,""CU"":0.135699,""FC"":0.052192}","{""FF"":193,""CU"":65,""CH"":106,""ST"":90,""FC"":25}","{""FF"":""Four-Seam Fastball"",""CH"":""Changeup"",""ST"":""Sweeper"",""CU"":""Curveball"",""FC"":""Cutter""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,822938,667755,José Soriano,TOR,TBR,2026-08-18T22:40:00+00:00,2026-08-18T04:21:41.640006+00:00,2026-08-18T05:01:02.319659+00:00,822779|823428|823194|824006|823681,5,5,5,0,441,441,1.0,SI|KC|FF|FS|SL,"{""SI"":0.337868,""KC"":0.265306,""FF"":0.222222,""FS"":0.151927,""SL"":0.022676}","{""SI"":149,""FF"":98,""KC"":117,""FS"":67,""SL"":10}","{""SI"":""Sinker"",""KC"":""Knuckle Curve"",""FF"":""Four-Seam Fastball"",""FS"":""Splitter"",""SL"":""Slider""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
2026-08-18,822938,607259,Nick Martinez,TBR,TOR,2026-08-18T22:40:00+00:00,2026-08-18T04:21:42.880843+00:00,2026-08-18T05:01:02.319659+00:00,824970|824322|822945|822948|822788,5,5,5,0,419,419,1.0,SI|CH|FC|FF|SL|CU,"{""SI"":0.312649,""CH"":0.257757,""FC"":0.231504,""FF"":0.133652,""SL"":0.059666,""CU"":0.004773}","{""FF"":56,""SI"":131,""FC"":97,""CH"":108,""SL"":25,""CU"":2}","{""SI"":""Sinker"",""CH"":""Changeup"",""FC"":""Cutter"",""FF"":""Four-Seam Fastball"",""SL"":""Slider"",""CU"":""Curveball""}",True,,MLB_STATS_API_PRIOR_GAME_LIVE_FEED,v1 gameLog + v1.1 game feed/live,True,NONE,pitch-arsenal-capture-v1-report-only
