Dimension,Cohort,Resolved_Starts,Beat_Projection_Rate,Material_Crusher_Rate,Mean_K_Residual,Residual_Lift_vs_Overall,Signal,Report_Only,Production_Authority,Research_Version
Confidence,HIGH,201,0.42786069651741293,0.17412935323383086,-0.0761682858084605,0.13527400378825158,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Confidence,MEDIUM,34,0.35294117647058826,0.058823529411764705,-0.9925113807108092,-0.7810690911140972,UNDERINDEX,True,NONE,projection-crusher-shadow-v1-report-only
Data Quality,75-89,117,0.41025641025641024,0.1794871794871795,-0.047769557859435374,0.1636727317372767,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Data Quality,50-74,105,0.42857142857142855,0.1523809523809524,-0.30137282290356104,-0.08993053330684897,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Data Quality,<50,15,0.4,0.0,-0.8585758639995278,-0.6471335744028157,UNDERINDEX,True,NONE,projection-crusher-shadow-v1-report-only
Leash,LONG,8,0.625,0.625,0.844992051324941,1.056434340921653,LEARNING,True,NONE,projection-crusher-shadow-v1-report-only
Leash,NORMAL,158,0.43670886075949367,0.15822784810126583,0.0003244939444972275,0.2117667835412093,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Leash,TIGHT,71,0.352112676056338,0.09859154929577464,-0.8017328040598712,-0.5902905144631592,UNDERINDEX,True,NONE,projection-crusher-shadow-v1-report-only
Lineup State,CONFIRMED,232,0.41810344827586204,0.15517241379310345,-0.24036845542850332,-0.02892616583179125,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Opponent K Environment,MID_K_22-24.9,89,0.48314606741573035,0.16853932584269662,0.06029138467548634,0.2717336742721984,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Opponent K Environment,LOW_K_<22,140,0.38571428571428573,0.15,-0.3514046280543067,-0.13996233845759465,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Opponent K Environment,HIGH_K_25+,8,0.25,0.125,-0.7851384928670128,-0.5736962032703007,LEARNING,True,NONE,projection-crusher-shadow-v1-report-only
Projection,5.5-6.49,27,0.5555555555555556,0.2962962962962963,0.33778533648357184,0.549227626080284,OVERINDEX,True,NONE,projection-crusher-shadow-v1-report-only
Projection,4.5-5.49,141,0.3971631205673759,0.14893617021276595,-0.1662125332979626,0.04522975629874948,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Projection,<4.5,68,0.39705882352941174,0.10294117647058823,-0.5735017189454485,-0.3620594293487365,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
SIM/MATH Disagreement,UNKNOWN,136,0.4485294117647059,0.14705882352941177,-0.1520027795345827,0.059439510062129386,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
SIM/MATH Disagreement,<0.25 K,96,0.3854166666666667,0.17708333333333334,-0.228021254766,-0.016578965169287918,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Starter Role,ESTABLISHED,177,0.4463276836158192,0.192090395480226,-0.0029273027240514318,0.20851498687266065,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Starter Role,UNKNOWN,40,0.35,0.05,-0.5893548621858397,-0.3779125725891276,NEUTRAL,True,NONE,projection-crusher-shadow-v1-report-only
Starter Role,LOW_RECENT_EXPOSURE,10,0.2,0.1,-1.5644023972965475,-1.3529601076998354,LEARNING,True,NONE,projection-crusher-shadow-v1-report-only
