Game_Date,Pitcher,Pitcher_ID,Team,Opponent,Projection,Actual_K,K_Residual,Beat_Projection,Material_Crusher_Event,Confidence,Data_Quality,Opponent_K_Pct,Lineup_State,Starter_Role,Leash_Label,SIM_Mean_K,MATH_Mean_K,SIM_MATH_Disagreement,Projection_SD,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-12,Shane Baz,669358,BAL,MIN,5.076665598251974,2.0,-3.0766655982519744,False,False,HIGH,78,19.91064396674875,CONFIRMED,UNKNOWN,NORMAL,,,,2.1523243491625133,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Zebby Matthews,805673,MIN,BAL,5.292388596361408,4.0,-1.2923885963614081,False,False,HIGH,66,24.08718085532845,CONFIRMED,UNKNOWN,NORMAL,,,,2.1531623613348407,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Zack Wheeler,554430,PHI,STL,5.113708402473249,5.0,-0.11370840247324931,False,False,HIGH,72,20.53769145149315,CONFIRMED,UNKNOWN,NORMAL,,,,2.5016194494041035,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Kyle Leahy,681517,STL,PHI,4.434771817643135,6.0,1.565228182356865,True,False,HIGH,77,19.929025187140027,CONFIRMED,UNKNOWN,NORMAL,,,,2.197686023027716,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Drew Rasmussen,656876,TBR,ATH,5.378819291726495,3.0,-2.3788192917264954,False,False,HIGH,77,21.92034834421512,CONFIRMED,UNKNOWN,NORMAL,,,,2.538561989410848,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Ryan Feltner,663372,COL,ARI,4.26334716437203,2.0,-2.26334716437203,False,False,HIGH,70,20.77272576600542,CONFIRMED,UNKNOWN,TIGHT,,,,2.093021874678222,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Merrill Kelly,518876,ARI,COL,4.583344702255669,2.0,-2.583344702255669,False,False,HIGH,76,22.60657328351401,CONFIRMED,UNKNOWN,NORMAL,,,,1.7898687212359217,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Dustin May,669160,MIL,SDP,4.859837383413874,6.0,1.1401626165861263,True,False,HIGH,77,21.0865526766236,CONFIRMED,UNKNOWN,NORMAL,,,,2.314597532196183,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Robbie Ray,592662,SDP,MIL,5.052324860965883,4.0,-1.052324860965883,False,False,HIGH,77,21.756618571873823,CONFIRMED,UNKNOWN,NORMAL,,,,1.972915620261788,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Foster Griffin,656492,CLE,DET,5.372364059781617,3.0,-2.372364059781617,False,False,HIGH,78,22.392070840080606,CONFIRMED,UNKNOWN,NORMAL,,,,2.3296002081557563,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Framber Valdez,664285,DET,CLE,4.726033431720969,3.0,-1.7260334317209693,False,False,HIGH,78,19.34307140209807,CONFIRMED,UNKNOWN,NORMAL,,,,2.2306340182632463,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Carmen Mlodzinski,669387,PIT,MIA,4.0459259725286,1.0,-3.0459259725286003,False,False,HIGH,77,22.966764439993938,CONFIRMED,UNKNOWN,TIGHT,,,,2.2370229090043905,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Janson Junk,676083,MIA,PIT,4.180725412905703,2.0,-2.180725412905703,False,False,HIGH,68,21.930684212284863,CONFIRMED,UNKNOWN,TIGHT,,,,1.7382683382817037,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,David Peterson,656849,CHC,WSH,4.793542729116886,6.0,1.2064572708831136,True,False,HIGH,66,22.59412762184728,CONFIRMED,UNKNOWN,NORMAL,,,,1.8995944136315803,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Bryce Miller,682243,SEA,NYY,5.483300285566592,5.0,-0.48330028556659244,False,False,HIGH,64,24.294908813442703,CONFIRMED,UNKNOWN,NORMAL,,,,2.614200772440239,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Will Warren,701542,NYY,SEA,4.830626519208324,3.0,-1.830626519208324,False,False,HIGH,77,21.13687840942258,CONFIRMED,UNKNOWN,NORMAL,,,,2.3449894720405045,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Ranger Suarez,624133,BOS,TOR,4.477654017973988,2.0,-2.477654017973988,False,False,HIGH,74,20.777209856279946,CONFIRMED,UNKNOWN,TIGHT,,,,2.331347460232805,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,José Soriano,667755,TOR,BOS,4.925171926160614,4.0,-0.9251719261606137,False,False,HIGH,78,20.352762774494312,CONFIRMED,UNKNOWN,NORMAL,,,,2.2599265167062543,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Zac Thornton,804267,NYM,ATL,4.434887433347578,2.0,-2.434887433347578,False,False,MEDIUM,54,21.161049756070145,CONFIRMED,UNKNOWN,TIGHT,,,,1.9079808230479045,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Tyler Mahle,641816,ATL,NYM,5.086881035303266,7.0,1.913118964696734,True,False,HIGH,72,22.211407186781944,CONFIRMED,UNKNOWN,NORMAL,,,,1.985804330961617,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Rhett Lowder,695076,CIN,CHW,4.845516739681388,4.0,-0.8455167396813881,False,False,HIGH,70,24.300118067490644,CONFIRMED,UNKNOWN,NORMAL,,,,2.0900407872959987,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Luis Castillo,622491,CHW,CIN,5.077414760392842,10.0,4.922585239607158,True,True,HIGH,71,24.350602776478613,CONFIRMED,UNKNOWN,NORMAL,,,,1.7926204056618298,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Daniel Lynch IV,663738,KCR,LAD,3.0354843043145308,3.0,-0.03548430431453076,False,False,MEDIUM,48,19.750322130100702,CONFIRMED,UNKNOWN,TIGHT,,,,1.3154298259599717,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Eric Lauer,641778,LAD,KCR,4.161318077633911,6.0,1.8386819223660886,True,False,HIGH,66,21.08398025293156,CONFIRMED,UNKNOWN,NORMAL,,,,2.1098329251453665,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Cal Quantrill,615698,TEX,LAA,4.138202343473262,6.0,1.861797656526738,True,False,HIGH,79,23.321711632958632,CONFIRMED,UNKNOWN,TIGHT,,,,1.9692977989416616,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,George Klassen,691946,LAA,TEX,3.858255496642796,5.0,1.141744503357204,True,False,MEDIUM,48,23.32912180234725,CONFIRMED,UNKNOWN,TIGHT,,,,1.4653970384640516,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Jack Perkins,678022,ATH,TBR,4.615237274528287,2.0,-2.615237274528287,False,False,HIGH,65,20.02931325524474,CONFIRMED,UNKNOWN,TIGHT,,,,2.015828333942726,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Adrian Houser,605288,SFG,HOU,3.824028402427333,5.0,1.175971597572667,True,False,HIGH,65,21.153666945821605,CONFIRMED,UNKNOWN,TIGHT,,,,1.7114013243311963,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Bryan King,687911,HOU,SFG,5.231113000659757,1.0,-4.231113000659757,False,False,MEDIUM,46,24.04044665002596,CONFIRMED,UNKNOWN,NORMAL,,,,2.083739852205853,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-12,Jackson Kent,800600,WSH,CHC,4.987131452321712,6.0,1.0128685476782877,True,False,MEDIUM,46,21.592546872408168,CONFIRMED,UNKNOWN,NORMAL,,,,2.061088890537375,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Parker Messick,800048,CLE,DET,5.693249422713524,6.0,0.3067505772864756,True,False,HIGH,78,22.86229888972531,CONFIRMED,ESTABLISHED,NORMAL,,,,2.17908085365747,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Keider Montero,672456,DET,CLE,4.214743913149588,0.0,-4.214743913149588,False,False,HIGH,72,18.66123766259112,CONFIRMED,ESTABLISHED,TIGHT,,,,2.0051706830162472,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Braxton Ashcraft,677952,PIT,MIA,5.249966977526226,10.0,4.750033022473774,True,True,HIGH,78,20.783078888752524,CONFIRMED,ESTABLISHED,NORMAL,,,,2.1440426859275328,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Tyler Phillips,663969,MIA,PIT,3.866392782415895,6.0,2.133607217584105,True,True,HIGH,64,22.46787762178659,CONFIRMED,ESTABLISHED,TIGHT,,,,1.7313666048566425,True,NONE,True,projection-crusher-shadow-v1-report-only
