Dimension,Cohort,Resolved_Calls,Ladder_Win_Rate,Crusher_Events,Crusher_Rate,Crusher_Rate_Lift_vs_Overall,Avg_Actual_Margin,Avg_Raw_Path_Target_Probability,Avg_Data_Quality,Signal,Production_Authority,Report_Only,Crusher_Version
Confidence,HIGH,117,0.6324786324786325,43,0.36752136752136755,0.006619111882269824,0.39316239316239315,0.6433975349610483,73.17948717948718,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Confidence,MEDIUM,16,0.625,5,0.3125,-0.048402255639097724,-0.1875,0.658706117991162,50.8125,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Data Quality,75-89,64,0.609375,26,0.40625,0.045347744360902276,0.46875,0.6481854521854551,77.796875,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Data Quality,<50,6,0.8333333333333334,2,0.3333333333333333,-0.02756892230576441,0.16666666666666666,0.6726178646522776,47.0,LEARNING,NONE,True,projection-crusher-v2-report-only
Data Quality,50-74,63,0.6349206349206349,20,0.31746031746031744,-0.04344193817878028,0.19047619047619047,0.6396386246114043,65.3015873015873,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Leash,LONG,7,0.8571428571428571,5,0.7142857142857143,0.3533834586466166,2.142857142857143,0.6559619563462186,77.57142857142857,LEARNING,NONE,True,projection-crusher-v2-report-only
Leash,NORMAL,87,0.6551724137931034,32,0.367816091954023,0.006913836314925259,0.367816091954023,0.6450041889040775,72.34482758620689,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Leash,TIGHT,39,0.5384615384615384,11,0.28205128205128205,-0.07885097358781568,-0.10256410256410256,0.6438387525441791,65.07692307692308,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Lineup State,CONFIRMED,130,0.6230769230769231,46,0.35384615384615387,-0.0070561017929438585,0.27692307692307694,0.6469139030758388,70.5,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Opponent K Environment,MID_K_22-24.9,53,0.6981132075471698,22,0.41509433962264153,0.054192083983543804,0.41509433962264153,0.6604319845611739,69.66037735849056,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Opponent K Environment,LOW_K_<22,76,0.6052631578947368,25,0.32894736842105265,-0.03195488721804507,0.3157894736842105,0.634367324918235,71.03947368421052,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Projection Headroom,0.75-0.99,29,0.7931034482758621,14,0.4827586206896552,0.12185636505055747,0.8620689655172413,0.7176302546624257,70.82758620689656,OVERINDEX,NONE,True,projection-crusher-v2-report-only
Projection Headroom,0.25-0.49,31,0.6129032258064516,13,0.41935483870967744,0.05845258307057971,0.6451612903225806,0.6274174974970925,69.3225806451613,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Projection Headroom,0.50-0.74,32,0.59375,12,0.375,0.014097744360902276,0.21875,0.6723883655274139,70.5625,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Projection Headroom,0.00-0.24,41,0.5609756097560976,9,0.21951219512195122,-0.1413900605171465,-0.21951219512195122,0.5863210237513122,71.07317073170732,UNDERINDEX,NONE,True,projection-crusher-v2-report-only
Starter Role,ESTABLISHED,91,0.6593406593406593,34,0.37362637362637363,0.012724117987275907,0.4725274725274725,0.6488370759066131,71.78021978021978,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Starter Role,UNKNOWN,33,0.5454545454545454,12,0.36363636363636365,0.002734107997265922,0.0,0.6355347718999447,68.78787878787878,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Target,3+,8,0.75,4,0.5,0.13909774436090228,0.625,0.6728960181923084,57.375,LEARNING,NONE,True,projection-crusher-v2-report-only
Target,5+,56,0.6428571428571429,20,0.35714285714285715,-0.0037593984962405735,0.42857142857142855,0.6208703449162049,73.16071428571429,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Target,4+,66,0.5909090909090909,22,0.3333333333333333,-0.02756892230576441,0.10606060606060606,0.6634699769192,69.48484848484848,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Weather Risk,LOW,6,0.6666666666666666,3,0.5,0.13909774436090228,0.3333333333333333,0.6675695927192526,66.5,LEARNING,NONE,True,projection-crusher-v2-report-only
Weather Risk,NONE,16,0.6875,6,0.375,0.014097744360902276,0.375,0.6490918953497447,68.5,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Weather Risk,UNKNOWN,105,0.6285714285714286,38,0.3619047619047619,0.0010025062656641714,0.3238095238095238,0.6425360410488219,71.33333333333333,NEUTRAL,NONE,True,projection-crusher-v2-report-only
Weather Risk,HIGH,6,0.5,1,0.16666666666666666,-0.19423558897243107,0.16666666666666666,0.6599395477105872,65.0,LEARNING,NONE,True,projection-crusher-v2-report-only
