Pitcher,Resolved_Calls,Ladder_Wins,Win_Rate,Crusher_Events,Crusher_Rate,Mega_Crusher_Events,Avg_Actual_Margin,Avg_Raw_Path_Target_Probability,Avg_Data_Quality,Production_Authority,Report_Only,Crusher_Version
Reid Detmers,1,1,1.0,1,1.0,1,6.0,0.6106868840594004,79.0,NONE,True,projection-crusher-v2-report-only
Braxton Ashcraft,1,1,1.0,1,1.0,1,5.0,0.6117813829636738,78.0,NONE,True,projection-crusher-v2-report-only
Cade Cavalli,1,1,1.0,1,1.0,1,5.0,0.5813675657329586,70.0,NONE,True,projection-crusher-v2-report-only
Luis Castillo,1,1,1.0,1,1.0,1,5.0,0.5781477995191002,71.0,NONE,True,projection-crusher-v2-report-only
Aaron Nola,1,1,1.0,1,1.0,1,4.0,0.5790192879226238,79.0,NONE,True,projection-crusher-v2-report-only
Chris Sale,1,1,1.0,1,1.0,1,4.0,0.6469035342731773,76.0,NONE,True,projection-crusher-v2-report-only
Dylan Cease,1,1,1.0,1,1.0,1,4.0,0.6866530327561862,77.0,NONE,True,projection-crusher-v2-report-only
Ian Seymour,1,1,1.0,1,1.0,1,4.0,0.6012879360608815,65.0,NONE,True,projection-crusher-v2-report-only
Yoshinobu Yamamoto,1,1,1.0,1,1.0,1,4.0,0.7195320065796726,76.0,NONE,True,projection-crusher-v2-report-only
Brandon Pfaadt,1,1,1.0,1,1.0,1,3.0,0.6943283368934432,79.0,NONE,True,projection-crusher-v2-report-only
Chase Burns,1,1,1.0,1,1.0,1,3.0,0.657260639762443,77.0,NONE,True,projection-crusher-v2-report-only
Christian Scott,1,1,1.0,1,1.0,1,3.0,0.7262390042125064,70.0,NONE,True,projection-crusher-v2-report-only
Emerson Hancock,1,1,1.0,1,1.0,1,3.0,0.5584341572079332,77.0,NONE,True,projection-crusher-v2-report-only
Hunter Dobbins,1,1,1.0,1,1.0,1,3.0,0.6659297088803297,70.0,NONE,True,projection-crusher-v2-report-only
Jared Jones,1,1,1.0,1,1.0,1,3.0,0.6421318657873842,64.0,NONE,True,projection-crusher-v2-report-only
Jesús Luzardo,1,1,1.0,1,1.0,1,3.0,0.5738785480019722,79.0,NONE,True,projection-crusher-v2-report-only
Joey Cantillo,1,1,1.0,1,1.0,1,3.0,0.6243921683583048,79.0,NONE,True,projection-crusher-v2-report-only
Noah Cameron,1,1,1.0,1,1.0,1,3.0,0.6757004929574177,77.0,NONE,True,projection-crusher-v2-report-only
Robert Gasser,1,1,1.0,1,1.0,1,3.0,0.7059053025245983,64.0,NONE,True,projection-crusher-v2-report-only
Tyler Phillips,1,1,1.0,1,1.0,1,3.0,0.7371262467118302,64.0,NONE,True,projection-crusher-v2-report-only
Adrian Houser,1,1,1.0,1,1.0,0,2.0,0.7300883203944719,65.0,NONE,True,projection-crusher-v2-report-only
Cal Quantrill,1,1,1.0,1,1.0,0,2.0,0.5966460225586075,79.0,NONE,True,projection-crusher-v2-report-only
Cam Schlittler,1,1,1.0,1,1.0,0,2.0,0.6913375257309959,79.0,NONE,True,projection-crusher-v2-report-only
David Peterson,1,1,1.0,1,1.0,0,2.0,0.7160261690770915,66.0,NONE,True,projection-crusher-v2-report-only
Dean Kremer,1,1,1.0,1,1.0,0,2.0,0.6542786800447158,79.0,NONE,True,projection-crusher-v2-report-only
Drew Anderson,1,1,1.0,1,1.0,0,2.0,0.6548439651229536,50.0,NONE,True,projection-crusher-v2-report-only
Dustin May,1,1,1.0,1,1.0,0,2.0,0.702496442328423,77.0,NONE,True,projection-crusher-v2-report-only
Eric Lauer,1,1,1.0,1,1.0,0,2.0,0.5905227218524004,66.0,NONE,True,projection-crusher-v2-report-only
George Klassen,1,1,1.0,1,1.0,0,2.0,0.7510696755503042,48.0,NONE,True,projection-crusher-v2-report-only
Hayden Wesneski,1,1,1.0,1,1.0,0,2.0,0.6741316378269955,58.0,NONE,True,projection-crusher-v2-report-only
J.T. Ginn,1,1,1.0,1,1.0,0,2.0,0.6056588834603529,76.0,NONE,True,projection-crusher-v2-report-only
Jackson Kent,1,1,1.0,1,1.0,0,2.0,0.7394318022521018,46.0,NONE,True,projection-crusher-v2-report-only
Jacob Lopez,1,1,1.0,1,1.0,0,2.0,0.6676650981827281,68.0,NONE,True,projection-crusher-v2-report-only
Jake Irvin,1,1,1.0,1,1.0,0,2.0,0.6529868645581896,65.0,NONE,True,projection-crusher-v2-report-only
Kevin Gausman,1,1,1.0,1,1.0,0,2.0,0.5903111087172896,70.0,NONE,True,projection-crusher-v2-report-only
Kyle Leahy,1,1,1.0,1,1.0,0,2.0,0.6391974692760674,77.0,NONE,True,projection-crusher-v2-report-only
Logan Gilbert,1,1,1.0,1,1.0,0,2.0,0.7275879909526339,78.0,NONE,True,projection-crusher-v2-report-only
Logan Webb,1,1,1.0,1,1.0,0,2.0,0.6544974299979243,76.0,NONE,True,projection-crusher-v2-report-only
Matthew Liberatore,1,1,1.0,1,1.0,0,2.0,0.7064333591636343,78.0,NONE,True,projection-crusher-v2-report-only
Michael McGreevy,1,1,1.0,1,1.0,0,2.0,0.6638396461552099,78.0,NONE,True,projection-crusher-v2-report-only
Peter Lambert,1,1,1.0,1,1.0,0,2.0,0.7413753498905093,74.0,NONE,True,projection-crusher-v2-report-only
Randy Dobnak,1,1,1.0,1,1.0,0,2.0,0.6850322630626892,52.0,NONE,True,projection-crusher-v2-report-only
Ryan Gusto,1,1,1.0,1,1.0,0,2.0,0.6578910201675283,79.0,NONE,True,projection-crusher-v2-report-only
Sean Manaea,1,1,1.0,1,1.0,0,2.0,0.623626726635202,78.0,NONE,True,projection-crusher-v2-report-only
Sonny Gray,1,1,1.0,1,1.0,0,2.0,0.6162312927165359,77.0,NONE,True,projection-crusher-v2-report-only
Tarik Skubal,1,1,1.0,1,1.0,0,2.0,0.7031090124510261,71.0,NONE,True,projection-crusher-v2-report-only
Trevor Rogers,1,1,1.0,1,1.0,0,2.0,0.6889548245032375,77.0,NONE,True,projection-crusher-v2-report-only
Tyler Mahle,1,1,1.0,1,1.0,0,2.0,0.5805835432094619,72.0,NONE,True,projection-crusher-v2-report-only
Bubba Chandler,1,1,1.0,0,0.0,0,1.0,0.6674672199400904,77.0,NONE,True,projection-crusher-v2-report-only
Connor Prielipp,1,1,1.0,0,0.0,0,1.0,0.5646351894209218,68.0,NONE,True,projection-crusher-v2-report-only
Grayson Rodriguez,1,1,1.0,0,0.0,0,1.0,0.6519494865601498,62.0,NONE,True,projection-crusher-v2-report-only
Jake Bennett,1,1,1.0,0,0.0,0,1.0,0.59101235038534,64.0,NONE,True,projection-crusher-v2-report-only
Justin Wrobleski,1,1,1.0,0,0.0,0,1.0,0.5477007499606525,72.0,NONE,True,projection-crusher-v2-report-only
Lake Bachar,1,1,1.0,0,0.0,0,1.0,0.5836707982107193,52.0,NONE,True,projection-crusher-v2-report-only
Logan Henderson,1,1,1.0,0,0.0,0,1.0,0.5932312301862741,68.0,NONE,True,projection-crusher-v2-report-only
Michael Soroka,1,1,1.0,0,0.0,0,1.0,0.640896337828412,68.0,NONE,True,projection-crusher-v2-report-only
Parker Messick,1,1,1.0,0,0.0,0,1.0,0.6817082446781169,78.0,NONE,True,projection-crusher-v2-report-only
Patrick Sandoval,1,1,1.0,0,0.0,0,1.0,0.6307752847520525,53.0,NONE,True,projection-crusher-v2-report-only
Robert Stock,1,1,1.0,0,0.0,0,1.0,0.6363997033107749,47.0,NONE,True,projection-crusher-v2-report-only
Shane Bieber,1,1,1.0,0,0.0,0,1.0,0.7055546147953903,68.0,NONE,True,projection-crusher-v2-report-only
Walbert Ureña,1,1,1.0,0,0.0,0,1.0,0.6960994774421552,72.0,NONE,True,projection-crusher-v2-report-only
Andrew Alvarez,1,1,1.0,0,0.0,0,0.0,0.6511952768137343,65.0,NONE,True,projection-crusher-v2-report-only
Anthony Kay,1,1,1.0,0,0.0,0,0.0,0.7167115547140409,77.0,NONE,True,projection-crusher-v2-report-only
Bryce Elder,1,1,1.0,0,0.0,0,0.0,0.566190463611735,78.0,NONE,True,projection-crusher-v2-report-only
Bryce Miller,1,1,1.0,0,0.0,0,0.0,0.6183372284393098,64.0,NONE,True,projection-crusher-v2-report-only
Cody Bradford,1,1,1.0,0,0.0,0,0.0,0.7192517904371419,47.0,NONE,True,projection-crusher-v2-report-only
Daniel Lynch IV,1,1,1.0,0,0.0,0,0.0,0.585581149144816,48.0,NONE,True,projection-crusher-v2-report-only
Eduardo Rodriguez,1,1,1.0,0,0.0,0,0.0,0.5653739607063554,79.0,NONE,True,projection-crusher-v2-report-only
Eury Pérez,1,1,1.0,0,0.0,0,0.0,0.6840609421484402,76.0,NONE,True,projection-crusher-v2-report-only
Gavin Williams,1,1,1.0,0,0.0,0,0.0,0.684890322060145,79.0,NONE,True,projection-crusher-v2-report-only
Gerrit Cole,1,1,1.0,0,0.0,0,0.0,0.5847128741500884,65.0,NONE,True,projection-crusher-v2-report-only
Jackson Jobe,1,1,1.0,0,0.0,0,0.0,0.6662095889008485,60.0,NONE,True,projection-crusher-v2-report-only
Jacob Misiorowski,1,1,1.0,0,0.0,0,0.0,0.6153519600299711,77.0,NONE,True,projection-crusher-v2-report-only
José Soriano,1,1,1.0,0,0.0,0,0.0,0.7211944765938026,78.0,NONE,True,projection-crusher-v2-report-only
Landen Roupp,1,1,1.0,0,0.0,0,0.0,0.5985427150297761,78.0,NONE,True,projection-crusher-v2-report-only
MacKenzie Gore,1,1,1.0,0,0.0,0,0.0,0.6805286606241763,79.0,NONE,True,projection-crusher-v2-report-only
Max Fried,1,1,1.0,0,0.0,0,0.0,0.7082613829048258,65.0,NONE,True,projection-crusher-v2-report-only
Max Scherzer,1,1,1.0,0,0.0,0,0.0,0.5463234039919608,70.0,NONE,True,projection-crusher-v2-report-only
Michael King,1,1,1.0,0,0.0,0,0.0,0.7099204591627534,79.0,NONE,True,projection-crusher-v2-report-only
Rhett Lowder,1,1,1.0,0,0.0,0,0.0,0.7146911893864759,70.0,NONE,True,projection-crusher-v2-report-only
Ryan Johnson,1,1,1.0,0,0.0,0,0.0,0.5909991592165742,60.0,NONE,True,projection-crusher-v2-report-only
Seth Lugo,1,1,1.0,0,0.0,0,0.0,0.7248627023810422,79.0,NONE,True,projection-crusher-v2-report-only
Shane Drohan,1,1,1.0,0,0.0,0,0.0,0.5818667447419064,64.0,NONE,True,projection-crusher-v2-report-only
Zack Wheeler,1,1,1.0,0,0.0,0,0.0,0.563426552189235,72.0,NONE,True,projection-crusher-v2-report-only
Andrew Abbott,1,0,0.0,0,0.0,0,-1.0,0.7165224071719605,79.0,NONE,True,projection-crusher-v2-report-only
Brady Singer,1,0,0.0,0,0.0,0,-1.0,0.6048801964687986,78.0,NONE,True,projection-crusher-v2-report-only
Casey Mize,1,0,0.0,0,0.0,0,-1.0,0.6765885532227918,71.0,NONE,True,projection-crusher-v2-report-only
Chris Bassitt,1,0,0.0,0,0.0,0,-1.0,0.574144754397713,79.0,NONE,True,projection-crusher-v2-report-only
Clay Holmes,1,0,0.0,0,0.0,0,-1.0,0.6216036923246964,79.0,NONE,True,projection-crusher-v2-report-only
Davis Martin,1,0,0.0,0,0.0,0,-1.0,0.669107548852125,78.0,NONE,True,projection-crusher-v2-report-only
Framber Valdez,1,0,0.0,0,0.0,0,-1.0,0.6885893560819438,78.0,NONE,True,projection-crusher-v2-report-only
