Dimension,Cohort,Resolved_Starts,Below_Projection_Rate,Material_Underperform_Rate,Mean_K_Residual,Residual_Lift_vs_Overall,Signal,Report_Only,Production_Authority,Research_Version
Confidence,MEDIUM,35,0.6571428571428571,0.37142857142857144,-0.9861848621215141,-0.7229520420120661,UNDERINDEX,True,NONE,projection-underperformer-shadow-v1-report-only
Confidence,HIGH,229,0.5764192139737991,0.2096069868995633,-0.1380805484707094,0.12515227163873857,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Data Quality,<50,16,0.625,0.3125,-0.9980171820260871,-0.7347843619166392,UNDERINDEX,True,NONE,projection-underperformer-shadow-v1-report-only
Data Quality,50-74,115,0.591304347826087,0.25217391304347825,-0.3487013739915333,-0.0854685538820853,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Data Quality,75-89,136,0.5808823529411765,0.20588235294117646,-0.10451639741013896,0.15871642269930902,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Leash,TIGHT,78,0.6666666666666666,0.34615384615384615,-0.8701776692883642,-0.6069448491789162,UNDERINDEX,True,NONE,projection-underperformer-shadow-v1-report-only
Leash,NORMAL,176,0.5681818181818182,0.18181818181818182,-0.0575644755484219,0.2056683445610261,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Leash,LONG,13,0.38461538461538464,0.23076923076923078,0.5940033024455411,0.8572361225549892,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Lineup State,CONFIRMED,261,0.5900383141762452,0.23754789272030652,-0.30268406448613666,-0.03945124437668868,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Opponent K Environment,HIGH_K_25+,9,0.6666666666666666,0.2222222222222222,-0.5910851188396938,-0.32785229873024585,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Opponent K Environment,LOW_K_<22,157,0.6178343949044586,0.24203821656050956,-0.37017571424352314,-0.10694289413407515,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Opponent K Environment,MID_K_22-24.9,101,0.5346534653465347,0.21782178217821782,-0.06778029468744806,0.19545252542199992,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Projection,<4.5,75,0.64,0.3466666666666667,-0.7047456270117511,-0.44151280690230316,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Projection,4.5-5.49,154,0.5974025974025974,0.18181818181818182,-0.18107505767093407,0.08215776243851391,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Projection,5.5-6.49,37,0.4594594594594595,0.21621621621621623,0.19611515065287913,0.45934797076232714,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
SIM/MATH Disagreement,<0.25 K,125,0.616,0.216,-0.311773950719307,-0.04854113060985904,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
SIM/MATH Disagreement,UNKNOWN,136,0.5514705882352942,0.23529411764705882,-0.1520027795345827,0.1112300405748653,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Starter Role,LOW_RECENT_EXPOSURE,13,0.7692307692307693,0.46153846153846156,-1.4154786490245685,-1.1522458289151205,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Starter Role,UNKNOWN,40,0.65,0.325,-0.5893548621858397,-0.32612204207639167,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
Starter Role,ESTABLISHED,203,0.5615763546798029,0.1921182266009852,-0.07311644088758902,0.19011637922185898,NEUTRAL,True,NONE,projection-underperformer-shadow-v1-report-only
