Refresh_At_UTC,Lane,Category,Previous_Status,Status,Status_Changed,Evidence_Direction_Changed,Progress_Changed,Readiness_Changed,Action_Changed,Source_Version_Changed,Evidence_Direction,Current_Starts,Required_Starts,Starts_Remaining,Current_Days,Required_Days,Days_Remaining,Breadth_Label,Current_Breadth,Required_Breadth,Breadth_Remaining,Secondary_Progress,Ready_For_Manual_Review,Recommended_Action,Source_Reason,Change_Summary,Report_Only,Production_Authority,No_Auto_Promotion,Control_Violation,Source_Version,Digest_Version
2026-08-20T19:52:11.065938+00:00,Opponent Asymmetric Challenger,OPPONENT,INCONCLUSIVE,INCONCLUSIVE,False,True,True,False,False,False,changed_relative_mae=+0.00%; changed_win_share=50.0%,61,60.0,0.0,3.0,10.0,7.0,OPPONENTS,29.0,15.0,0.0,changed=20; boost_capped=12/15; weak_reduce_neutralized=8/15; derivation_read=LEAN_SUPPORTED,False,KEEP_COMPOSITE_FROZEN_AND_LEARN,"Need 60 forward informative starts, 10 days, 15 opponents, and 15 starts in each changed component; have 61, 3, 29, BOOST_CAPPED=12, WEAK_REDUCE_NEUTRALIZED=8.",Evidence_Direction:changed_relative_mae=-0.04%; changed_win_share=50.0%->changed_relative_mae=+0.00%; changed_win_share=50.0%; Current_Starts:55->61; Current_Days:2->3; Secondary_Progress:changed=18; boost_capped=11/15; weak_reduce_neutralized=7/15; derivation_read=LEAN_SUPPORTED->changed=20; boost_capped=12/15; weak_reduce_neutralized=8/15; derivation_read=LEAN_SUPPORTED; Source_Reason:CHANGED,True,NONE,True,False,opponent-matchup-asymmetric-response-shadow-v1,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Opponent BOOST Cap Shadow,OPPONENT,LEARNING,LEARNING,False,True,True,False,False,False,relative_mae=-0.36%; win_share=29.2%,24,30.0,6.0,4.0,10.0,6.0,OPPONENTS,10.0,12.0,2.0,,False,KEEP_SHADOW_CAP_FROZEN_AND_LEARN,"Need 30 forward OOS starts, 10 days, and 12 opponents; have 24, 4, and 10.",Evidence_Direction:relative_mae=-0.64%; win_share=26.1%->relative_mae=-0.36%; win_share=29.2%; Current_Starts:23->24; Current_Days:3->4; Source_Reason:CHANGED,True,NONE,True,False,opponent-matchup-boost-cap-shadow-v1,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Weak-REDUCE Neutralization Shadow,OPPONENT,LEARNING,LEARNING,False,True,True,False,False,False,relative_mae=+1.19%; win_share=62.5%,8,30.0,22.0,3.0,10.0,7.0,OPPONENTS,7.0,12.0,5.0,,False,KEEP_WEAK_REDUCE_NEUTRALIZATION_FROZEN_AND_LEARN,"Need 30 forward OOS starts, 10 days, and 12 opponents; have 8, 3, and 7.",Evidence_Direction:relative_mae=+2.24%; win_share=71.4%->relative_mae=+1.19%; win_share=62.5%; Current_Starts:7->8; Current_Days:2->3; Current_Breadth:6->7; Source_Reason:CHANGED,True,NONE,True,False,opponent-matchup-weak-reduce-neutral-shadow-v1,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Confirmed Lineup,LINEUP,LEARNING,LEARNING,False,True,True,False,False,False,relative_mae=+0.29%; win_share=52.2%,180,30.0,0.0,8.0,10.0,2.0,OPPONENTS,30.0,8.0,0.0,authentic_pairs=208,False,KEEP_LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 180, 8, and 30.",Evidence_Direction:relative_mae=+0.22%; win_share=51.7%->relative_mae=+0.29%; win_share=52.2%; Current_Starts:174->180; Current_Days:7->8; Secondary_Progress:authentic_pairs=202->authentic_pairs=208; Source_Reason:CHANGED,True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Lineup Materiality Shadow,LINEUP,INCONCLUSIVE,INCONCLUSIVE,False,True,True,False,False,False,changed_relative_mae=-0.43%; changed_win_share=42.6%,60,30.0,0.0,3.0,10.0,7.0,OPPONENTS,29.0,12.0,0.0,immaterial_changed_pairs=47/20; materiality_vs_preconfirm=-0.40%; derivation_read=LEAN_SUPPORTED,False,KEEP_MATERIALITY_THRESHOLD_FROZEN_AND_LEARN,"Need 30 forward pairs, 10 days, 12 opponents, and 20 immaterial changed pairs; have 60, 3, 29, and 47.",Evidence_Direction:changed_relative_mae=-0.41%; changed_win_share=42.9%->changed_relative_mae=-0.43%; changed_win_share=42.6%; Current_Starts:54->60; Current_Days:2->3; Secondary_Progress:immaterial_changed_pairs=42/20; materiality_vs_preconfirm=-0.66%; derivation_read=LEAN_SUPPORTED->immaterial_changed_pairs=47/20; materiality_vs_preconfirm=-0.40%; derivation_read=LEAN_SUPPORTED; Source_Reason:CHANGED,True,NONE,True,False,lineup-materiality-shadow-v1,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Handedness Matchup Audit,MATCHUP,LEARNING,LEARNING,False,True,True,False,False,False,LEAN_ASYMMETRY,61,60.0,0.0,3.0,10.0,7.0,OPPONENTS,29.0,15.0,0.0,RHP=42/35; LHP=19/15,False,KEEP_MATCHUP_HANDLING_UNCHANGED_AND_LEARN,"Need 60 starts, 10 days, 15 opponents, 35 RHP starts, and 15 LHP starts; have 61, 3, 29, 42, and 19.",Evidence_Direction:LEAN_CONSISTENT->LEAN_ASYMMETRY; Current_Starts:55->61; Current_Days:2->3; Secondary_Progress:RHP=37/35; LHP=18/15->RHP=42/35; LHP=19/15; Source_Reason:CHANGED,True,NONE,True,False,handedness-matchup-audit-v1-report-only,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Pitch-Mix Whiff Forward,PITCH_MIX,LEARNING,LEARNING,False,False,True,False,False,False,SPEARMAN_SCORE_DELTA_VS_K_RESIDUAL,58,60.0,2.0,3.0,10.0,7.0,OPPONENTS,28.0,15.0,0.0,,False,COLLECT_FORWARD_OUTCOMES_WITH_FROZEN_SCORE_AND_EVALUATION_PROTOCOL,Need 60 resolved starts / 10 days / 15 opponents; currently 58 / 3 / 28.,Current_Starts:52->58; Current_Days:2->3; Source_Reason:CHANGED,True,NONE,True,False,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Umpire Context,CONTEXT,LEARNING,LEARNING,False,False,True,False,False,False,relative_mae=+0.01%; win_share=50.8%,130,30.0,0.0,7.0,10.0,3.0,UMPIRES,53.0,8.0,0.0,,False,KEEP_LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 130, 7, and 53.",Current_Starts:126->130; Current_Days:6->7; Source_Reason:CHANGED,True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Umpire K-UP Cap Shadow,CONTEXT,LEARNING,LEARNING,False,False,True,False,False,False,relative_mae=-2.56%; win_share=40.0%,10,30.0,20.0,1.0,10.0,9.0,UMPIRES,6.0,12.0,6.0,eligible_starts=26; frozen_max_factor=1.015,False,KEEP_K_UP_CAP_SHADOW_FROZEN_AND_LEARN,"Need 30 forward changed starts, 10 days, and 12 umpires; have 10, 1, and 6.",Secondary_Progress:eligible_starts=22; frozen_max_factor=1.015->eligible_starts=26; frozen_max_factor=1.015,True,NONE,True,False,umpire-k-up-cap-shadow-v1-preregistered-report-only,research-evidence-transition-digest-v1-report-only
2026-08-20T19:52:11.065938+00:00,Catcher Context,CONTEXT,LEARNING,LEARNING,False,False,True,False,False,False,relative_mae=+31.28%,1,30.0,29.0,1.0,10.0,9.0,CATCHERS,1.0,8.0,7.0,authentic_pregame_resolved=101; resolved_pool=67 catchers/223 starts; next_appearance_ready=17; near_ready_3_4=28,False,KEEP_LEARNING,"Need at least 30 auditable starts, 8 catchers, and 10 days; have 1, 1, and 1.",Secondary_Progress:authentic_pregame_resolved=95; resolved_pool=67 catchers/217 starts; next_appearance_ready=14; near_ready_3_4=31->authentic_pregame_resolved=101; resolved_pool=67 catchers/223 starts; next_appearance_ready=17; near_ready_3_4=28,True,NONE,True,False,catcher-context-walkforward-v1,research-evidence-transition-digest-v1-report-only
