Lane,Segment,Metric,Estimate,CI_Low_95,CI_High_95,Observations,Date_Blocks,Method,Report_Only,Production_Authority,Governance_Version
Calibration Shadow,Milestone 3,Baseline_Brier_minus_Candidate_Brier,-0.0013061278371160237,-0.0032555315242983047,0.000556989003172647,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Calibration Shadow,Milestone 4,Baseline_Brier_minus_Candidate_Brier,-0.001956317954294858,-0.003625660616695527,-0.0003005317768653323,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Calibration Shadow,Milestone 5,Baseline_Brier_minus_Candidate_Brier,0.00044569203938306905,-0.0013479490757359357,0.002220812177536942,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Calibration Shadow,Milestone 6,Baseline_Brier_minus_Candidate_Brier,0.0005397147267373947,-0.000142524911456427,0.0010172550550469905,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Calibration Shadow,Milestone 7,Baseline_Brier_minus_Candidate_Brier,0.0007398214504144053,0.00011649045463120312,0.0014331908134756993,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Calibration Shadow,Milestone 8,Baseline_Brier_minus_Candidate_Brier,-0.0004633259567150758,-0.0011668174763772472,0.00027118955144701866,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Calibration Shadow,Milestone 9,Baseline_Brier_minus_Candidate_Brier,3.10947695631738e-05,-0.0004825200213036759,0.0005401285512295487,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Calibration Shadow,Milestone 10,Baseline_Brier_minus_Candidate_Brier,0.0003028060420688614,-0.00026556702456518525,0.0010006920307320706,209,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Starter Role Live Shadow,LOW_RECENT_EXPOSURE,BF_Absolute_Error_Improvement,-0.2649800285659127,-0.8517914026939021,0.21091192251711832,13,7,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Starter Role Live Shadow,LOW_RECENT_EXPOSURE,OUTS_Absolute_Error_Improvement,-0.26177374994713265,-0.7014235847047077,0.1457764612911868,13,7,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Starter Role Live Shadow,LOW_RECENT_EXPOSURE,PITCHES_Absolute_Error_Improvement,-0.8701005669110496,-3.325031188494756,0.9766798727814081,13,7,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Starter Role Live Shadow,RAMPING,BF_Absolute_Error_Improvement,-0.13821774897998385,-1.0501678497016371,0.7737323517416694,4,4,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Starter Role Live Shadow,RAMPING,OUTS_Absolute_Error_Improvement,-0.26434582008179697,-1.1721720662187032,0.6434804260551092,4,4,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Starter Role Live Shadow,RAMPING,PITCHES_Absolute_Error_Improvement,8.881784197001252e-16,-3.5450647502963335,3.5450647502963353,4,4,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
ML Challenger,ML_SHADOW,Absolute_Error_Improvement,-0.16681726287940182,-0.2640390062946827,-0.07421652909300953,213,8,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
Top Plays Accountability,ALL REAL-LINE TOP PLAYS,Hit_Rate,0.6,0.6,0.6,10,2,game-date block bootstrap; 1000 deterministic resamples,True,NONE,research-governance-v2-report-only
