game_pk,pitcher_id,game_date,player,team,opponent,game_time,actual_strikeouts,actual_pitches,actual_batters_faced,actual_outs,age_hours,resolution_status,missing_actuals,audit_version
824564,676282,2026-08-09,Joey Cantillo,CLE,CHW,2026-08-09T18:10:00Z,3.0,31.0,6.0,3.0,121.66530752777778,RESOLVED,,resolution-completeness-v1
822700,663903,2026-08-09,Brady Singer,CIN,WSH,2026-08-09T16:15:00Z,3.0,103.0,27.0,18.0,123.58197419444446,RESOLVED,,resolution-completeness-v1
822700,695418,2026-08-09,Brad Lord,WSH,CIN,2026-08-09T16:15:00Z,4.0,51.0,11.0,8.0,123.58197419444446,RESOLVED,,resolution-completeness-v1
824724,669372,2026-08-09,J.T. Ginn,ATH,BOS,2026-08-09T17:35:00Z,2.0,95.0,27.0,18.0,122.24864086111111,RESOLVED,,resolution-completeness-v1
823345,640455,2026-08-09,Sean Manaea,NYM,PIT,2026-08-09T17:35:00Z,11.0,91.0,25.0,21.0,122.24864086111111,RESOLVED,,resolution-completeness-v1
823345,683003,2026-08-09,Jared Jones,PIT,NYM,2026-08-09T17:35:00Z,3.0,69.0,20.0,9.0,122.24864086111111,RESOLVED,,resolution-completeness-v1
823425,669456,2026-08-09,Shane Bieber,TOR,PHI,2026-08-09T17:35:00Z,4.0,97.0,26.0,17.0,122.24864086111111,RESOLVED,,resolution-completeness-v1
823425,666200,2026-08-09,Jesús Luzardo,PHI,TOR,2026-08-09T17:35:00Z,12.0,100.0,27.0,21.0,122.24864086111111,RESOLVED,,resolution-completeness-v1
823513,656550,2026-08-09,Grant Holmes,ATL,NYY,2026-08-09T17:35:00Z,2.0,77.0,21.0,18.0,122.24864086111111,RESOLVED,,resolution-completeness-v1
823513,693645,2026-08-09,Cam Schlittler,NYY,ATL,2026-08-09T17:35:00Z,11.0,96.0,24.0,21.0,122.24864086111111,RESOLVED,,resolution-completeness-v1
823835,680570,2026-08-09,Grayson Rodriguez,LAA,MIA,2026-08-09T17:40:00Z,8.0,83.0,20.0,12.0,122.16530752777778,RESOLVED,,resolution-completeness-v1
823835,687473,2026-08-09,Ryan Gusto,MIA,LAA,2026-08-09T17:40:00Z,4.0,60.0,18.0,12.0,122.16530752777778,RESOLVED,,resolution-completeness-v1
824078,571510,2026-08-09,Matthew Boyd,CHC,KCR,2026-08-09T18:10:00Z,3.0,98.0,27.0,21.0,121.66530752777778,RESOLVED,,resolution-completeness-v1
824078,677976,2026-08-09,Randy Dobnak,KCR,CHC,2026-08-09T18:10:00Z,4.0,94.0,26.0,15.0,121.66530752777778,RESOLVED,,resolution-completeness-v1
824564,663436,2026-08-09,Davis Martin,CHW,CLE,2026-08-09T18:10:00Z,1.0,23.0,6.0,3.0,121.66530752777778,RESOLVED,,resolution-completeness-v1
823751,687570,2026-08-09,Connor Prielipp,MIN,MIL,2026-08-09T18:10:00Z,7.0,96.0,20.0,15.0,121.66530752777778,RESOLVED,,resolution-completeness-v1
823751,694819,2026-08-09,Jacob Misiorowski,MIL,MIN,2026-08-09T18:10:00Z,9.0,94.0,23.0,18.0,121.66530752777778,RESOLVED,,resolution-completeness-v1
823020,547179,2026-08-09,Michael Lorenzen,COL,STL,2026-08-09T18:15:00Z,1.0,97.0,23.0,13.0,121.58197419444446,RESOLVED,,resolution-completeness-v1
823020,700241,2026-08-09,Michael McGreevy,STL,COL,2026-08-09T18:15:00Z,4.0,102.0,26.0,17.0,121.58197419444446,RESOLVED,,resolution-completeness-v1
822862,700249,2026-08-09,Cade Povich,BAL,TEX,2026-08-09T18:35:00Z,2.0,61.0,15.0,9.0,121.24864086111111,RESOLVED,,resolution-completeness-v1
822862,677958,2026-08-09,Kumar Rocker,TEX,BAL,2026-08-09T18:35:00Z,5.0,69.0,18.0,9.0,121.24864086111111,RESOLVED,,resolution-completeness-v1
823190,675512,2026-08-09,Troy Melton,DET,SFG,2026-08-09T20:05:00Z,5.0,92.0,22.0,18.0,119.74864086111111,RESOLVED,,resolution-completeness-v1
823190,657277,2026-08-09,Logan Webb,SFG,DET,2026-08-09T20:05:00Z,2.0,100.0,28.0,24.0,119.74864086111111,RESOLVED,,resolution-completeness-v1
825050,680736,2026-08-09,Justin Wrobleski,LAD,ARI,2026-08-09T20:10:00Z,3.0,76.0,20.0,10.0,119.66530752777778,RESOLVED,,resolution-completeness-v1
825050,593958,2026-08-09,Eduardo Rodriguez,ARI,LAD,2026-08-09T20:10:00Z,9.0,115.0,28.0,21.0,119.66530752777778,RESOLVED,,resolution-completeness-v1
823104,676106,2026-08-09,Emerson Hancock,SEA,TBR,2026-08-09T20:10:00Z,3.0,96.0,25.0,14.0,119.66530752777778,RESOLVED,,resolution-completeness-v1
823268,664299,2026-08-10,Cristian Javier,HOU,SDP,2026-08-10T00:20:00Z,2.0,86.0,24.0,15.0,115.49864086111111,RESOLVED,,resolution-completeness-v1
822780,543243,2026-08-10,Sonny Gray,BOS,TOR,2026-08-10T23:07:00Z,4.0,99.0,26.0,18.0,92.71530752777778,RESOLVED,,resolution-completeness-v1
822780,592791,2026-08-10,Jameson Taillon,TOR,BOS,2026-08-10T23:07:00Z,3.0,61.0,16.0,12.0,92.71530752777778,RESOLVED,,resolution-completeness-v1
824887,681035,2026-08-10,Christian Scott,NYM,ATL,2026-08-10T23:15:00Z,6.0,82.0,21.0,12.0,92.58197419444446,RESOLVED,,resolution-completeness-v1
824887,693821,2026-08-10,Bryce Elder,ATL,NYM,2026-08-10T23:15:00Z,4.0,105.0,27.0,15.0,92.58197419444446,RESOLVED,,resolution-completeness-v1
823675,669432,2026-08-10,Trevor Rogers,BAL,MIN,2026-08-10T23:40:00Z,4.0,79.0,19.0,12.0,92.16530752777778,RESOLVED,,resolution-completeness-v1
823675,665152,2026-08-10,Dean Kremer,MIN,BAL,2026-08-10T23:40:00Z,7.0,89.0,22.0,21.0,92.16530752777778,RESOLVED,,resolution-completeness-v1
823018,691725,2026-08-10,Andrew Painter,PHI,STL,2026-08-10T23:45:00Z,6.0,93.0,21.0,16.0,92.08197419444446,RESOLVED,,resolution-completeness-v1
823018,690928,2026-08-10,Hunter Dobbins,STL,PHI,2026-08-10T23:45:00Z,6.0,97.0,22.0,15.0,92.08197419444446,RESOLVED,,resolution-completeness-v1
823998,669022,2026-08-10,MacKenzie Gore,TEX,LAA,2026-08-11T01:38:00Z,9.0,103.0,23.0,16.0,90.19864086111112,RESOLVED,,resolution-completeness-v1
823998,672282,2026-08-10,Reid Detmers,LAA,TEX,2026-08-11T01:38:00Z,6.0,88.0,24.0,18.0,90.19864086111112,RESOLVED,,resolution-completeness-v1
825048,687312,2026-08-10,Gabriel Hughes,COL,ARI,2026-08-11T01:40:00Z,3.0,88.0,22.0,12.0,90.16530752777778,RESOLVED,,resolution-completeness-v1
825048,647336,2026-08-10,Michael Soroka,ARI,COL,2026-08-11T01:40:00Z,4.0,77.0,18.0,13.0,90.16530752777778,RESOLVED,,resolution-completeness-v1
824969,642547,2026-08-10,Freddy Peralta,TBR,ATH,2026-08-11T01:40:00Z,5.0,98.0,24.0,18.0,90.16530752777778,RESOLVED,,resolution-completeness-v1
824969,682052,2026-08-10,Jacob Lopez,ATH,TBR,2026-08-11T01:40:00Z,5.0,93.0,27.0,21.0,90.16530752777778,RESOLVED,,resolution-completeness-v1
823265,701656,2026-08-10,Logan Henderson,MIL,SDP,2026-08-11T01:40:00Z,7.0,91.0,24.0,19.0,90.16530752777778,RESOLVED,,resolution-completeness-v1
823265,663554,2026-08-10,Casey Mize,SDP,MIL,2026-08-11T01:40:00Z,6.0,83.0,24.0,18.0,90.16530752777778,RESOLVED,,resolution-completeness-v1
823189,669713,2026-08-10,Hayden Wesneski,HOU,SFG,2026-08-11T01:45:00Z,4.0,83.0,27.0,21.0,90.08197419444446,RESOLVED,,resolution-completeness-v1
823189,694918,2026-08-10,Blade Tidwell,SFG,HOU,2026-08-11T01:45:00Z,6.0,96.0,22.0,17.0,90.08197419444446,RESOLVED,,resolution-completeness-v1
823918,702070,2026-08-10,Noah Cameron,KCR,LAD,2026-08-11T02:10:00Z,2.0,101.0,24.0,17.0,89.66530752777778,RESOLVED,,resolution-completeness-v1
823918,669373,2026-08-10,Tarik Skubal,LAD,KCR,2026-08-11T02:10:00Z,6.0,95.0,21.0,15.0,89.66530752777778,RESOLVED,,resolution-completeness-v1
824240,676440,2026-08-11,Tanner Bibee,CLE,DET,2026-08-11T22:40:00Z,4.0,96.0,27.0,19.0,69.16530752777777,RESOLVED,,resolution-completeness-v1
824240,623454,2026-08-11,Drew Anderson,DET,CLE,2026-08-11T22:40:00Z,4.0,70.0,17.0,12.0,69.16530752777777,RESOLVED,,resolution-completeness-v1
823832,694973,2026-08-11,Paul Skenes,PIT,MIA,2026-08-11T22:40:00Z,4.0,65.0,21.0,15.0,69.16530752777777,RESOLVED,,resolution-completeness-v1
823832,691587,2026-08-11,Eury Pérez,MIA,PIT,2026-08-11T22:40:00Z,7.0,100.0,24.0,21.0,69.16530752777777,RESOLVED,,resolution-completeness-v1
822697,684007,2026-08-11,Shota Imanaga,CHC,WSH,2026-08-11T22:45:00Z,5.0,86.0,21.0,14.0,69.08197419444444,RESOLVED,,resolution-completeness-v1
823512,693433,2026-08-11,Bryan Woo,SEA,NYY,2026-08-11T23:05:00Z,5.0,92.0,18.0,15.0,68.74864086111111,RESOLVED,,resolution-completeness-v1
823512,677960,2026-08-11,Ryan Weathers,NYY,SEA,2026-08-11T23:05:00Z,4.0,106.0,22.0,17.0,68.74864086111111,RESOLVED,,resolution-completeness-v1
822778,663776,2026-08-11,Patrick Sandoval,BOS,TOR,2026-08-11T23:07:00Z,4.0,84.0,27.0,18.0,68.71530752777778,RESOLVED,,resolution-completeness-v1
822778,656302,2026-08-11,Dylan Cease,TOR,BOS,2026-08-11T23:07:00Z,7.0,104.0,24.0,15.0,68.71530752777778,RESOLVED,,resolution-completeness-v1
824886,690997,2026-08-11,Nolan McLean,NYM,ATL,2026-08-11T23:15:00Z,3.0,85.0,20.0,18.0,68.58197419444444,RESOLVED,,resolution-completeness-v1
824886,527048,2026-08-11,Martín Pérez,ATL,NYM,2026-08-11T23:15:00Z,2.0,82.0,23.0,18.0,68.58197419444444,RESOLVED,,resolution-completeness-v1
823673,687064,2026-08-11,Brandon Young,BAL,MIN,2026-08-11T23:40:00Z,4.0,104.0,28.0,18.0,68.16530752777777,RESOLVED,,resolution-completeness-v1
823673,641927,2026-08-11,Bailey Ober,MIN,BAL,2026-08-11T23:40:00Z,4.0,100.0,26.0,18.0,68.16530752777777,RESOLVED,,resolution-completeness-v1
824563,666157,2026-08-11,Nick Lodolo,CIN,CHW,2026-08-11T23:40:00Z,5.0,70.0,18.0,12.0,68.16530752777777,RESOLVED,,resolution-completeness-v1
824563,680732,2026-08-11,Sean Burke,CHW,CIN,2026-08-11T23:40:00Z,8.0,94.0,25.0,21.0,68.16530752777777,RESOLVED,,resolution-completeness-v1
823019,650911,2026-08-11,Cristopher Sánchez,PHI,STL,2026-08-11T23:45:00Z,7.0,89.0,20.0,18.0,68.08197419444444,RESOLVED,,resolution-completeness-v1
823019,669467,2026-08-11,Andre Pallante,STL,PHI,2026-08-11T23:45:00Z,2.0,97.0,22.0,18.0,68.08197419444444,RESOLVED,,resolution-completeness-v1
823997,674003,2026-08-11,Cody Bradford,TEX,LAA,2026-08-12T01:38:00Z,1.0,75.0,26.0,21.0,66.19864086111112,RESOLVED,,resolution-completeness-v1
823997,696270,2026-08-11,Ryan Johnson,LAA,TEX,2026-08-12T01:38:00Z,5.0,84.0,18.0,13.0,66.19864086111112,RESOLVED,,resolution-completeness-v1
825046,608372,2026-08-11,Tomoyuki Sugano,COL,ARI,2026-08-12T01:40:00Z,5.0,93.0,23.0,18.0,66.16530752777777,RESOLVED,,resolution-completeness-v1
825046,683352,2026-08-11,Mitch Bratt,ARI,COL,2026-08-12T01:40:00Z,4.0,78.0,21.0,18.0,66.16530752777777,RESOLVED,,resolution-completeness-v1
824970,607259,2026-08-11,Nick Martinez,TBR,ATH,2026-08-12T01:40:00Z,5.0,101.0,33.0,27.0,66.16530752777777,RESOLVED,,resolution-completeness-v1
823264,690986,2026-08-11,Kyle Harrison,MIL,SDP,2026-08-12T01:40:00Z,3.0,90.0,27.0,14.0,66.16530752777777,RESOLVED,,resolution-completeness-v1
823264,621111,2026-08-11,Walker Buehler,SDP,MIL,2026-08-12T01:40:00Z,5.0,98.0,24.0,18.0,66.16530752777777,RESOLVED,,resolution-completeness-v1
823186,686613,2026-08-11,Hunter Brown,HOU,SFG,2026-08-12T01:45:00Z,4.0,89.0,23.0,15.0,66.08197419444444,RESOLVED,,resolution-completeness-v1
823917,608379,2026-08-11,Michael Wacha,KCR,LAD,2026-08-12T02:10:00Z,5.0,96.0,27.0,20.0,65.66530752777777,RESOLVED,,resolution-completeness-v1
823917,605483,2026-08-11,Blake Snell,LAD,KCR,2026-08-12T02:10:00Z,10.0,84.0,22.0,18.0,65.66530752777777,RESOLVED,,resolution-completeness-v1
824970,686930,2026-08-11,Mason Barnett,ATH,TBR,2026-08-12T01:40:00Z,0.0,67.0,20.0,12.0,66.16530752777777,RESOLVED,,resolution-completeness-v1
823672,669358,2026-08-12,Shane Baz,BAL,MIN,2026-08-12T17:40:00Z,2.0,65.0,19.0,9.0,50.16530752777778,RESOLVED,,resolution-completeness-v1
823672,805673,2026-08-12,Zebby Matthews,MIN,BAL,2026-08-12T17:40:00Z,4.0,94.0,22.0,15.0,50.16530752777778,RESOLVED,,resolution-completeness-v1
