game_date,game_pk,pitcher_id,player,team,opponent,game_time,schedule_status,capture_status,research_capture_status,handedness_capture,pitch_arsenal_capture,batter_whiff_capture,pitch_mix_score_capture,pitch_mix_score_eligibility,missing_research_layers,audit_version
2026-08-22,823509,656302,Dylan Cease,TOR,NYY,2026-08-22T17:35:00Z,Pre-Game,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823509,677960,Ryan Weathers,NYY,TOR,2026-08-22T17:35:00Z,Pre-Game,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823743,527048,Martín Pérez,ATL,MIL,2026-08-22T18:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823743,701656,Logan Henderson,MIL,ATL,2026-08-22T18:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823831,663623,Jake Irvin,WSH,MIA,2026-08-22T20:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823831,691587,Eury Pérez,MIA,WSH,2026-08-22T20:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823422,691725,Andrew Painter,PHI,STL,2026-08-22T22:05:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824798,663556,Shane McClanahan,TBR,BAL,2026-08-22T23:05:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824798,687064,Brandon Young,BAL,TBR,2026-08-22T23:05:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,822858,696270,Ryan Johnson,LAA,TEX,2026-08-22T23:05:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,INELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,822858,674003,Cody Bradford,TEX,LAA,2026-08-22T23:05:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824151,682052,Jacob Lopez,ATH,HOU,2026-08-22T23:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824151,686613,Hunter Brown,HOU,ATH,2026-08-22T23:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824560,681035,Christian Scott,NYM,CHW,2026-08-22T23:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824560,622491,Luis Castillo,CHW,NYM,2026-08-22T23:10:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824073,623454,Drew Anderson,DET,KCR,2026-08-22T23:15:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,824073,608379,Michael Wacha,KCR,DET,2026-08-22T23:15:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823910,683003,Jared Jones,PIT,LAD,2026-08-22T23:15:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823910,669373,Tarik Skubal,LAD,PIT,2026-08-22T23:15:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823100,656849,David Peterson,CHC,SEA,2026-08-22T23:15:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
2026-08-22,823100,807739,Kade Anderson,SEA,CHC,2026-08-22T23:15:00Z,Scheduled,HISTORY_ONLY,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,slate-capture-integrity-v2-research-context
2026-08-22,824718,694918,Blade Tidwell,SFG,BOS,2026-08-22T23:15:00Z,Scheduled,PROJECTED,COMPLETE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,ELIGIBLE,,slate-capture-integrity-v2-research-context
