Season,Role,Metric,Starts,Adjusted_Starts,Baseline_MAE,Candidate_MAE,Baseline_RMSE,Candidate_RMSE,Baseline_Bias,Candidate_Bias,Relative_MAE,Win_Share,Status,Candidate_Version
2024,ESTABLISHED,PITCHES,1416,0,8.433118956824226,8.433118956824226,12.048267001004694,12.048267001004694,-0.2688261968250622,-0.2688261968250622,0.0,,LEARNING,starter-role-workload-v1-candidate
2024,ESTABLISHED,BF,1416,0,2.592607218255832,2.592607218255832,3.5158621226978664,3.5158621226978664,-0.19331176614499576,-0.19331176614499576,0.0,,LEARNING,starter-role-workload-v1-candidate
2024,ESTABLISHED,OUTS,1416,0,2.8157983251736884,2.8157983251736884,3.754669315920819,3.754669315920819,-0.16245449152632468,-0.16245449152632468,0.0,,LEARNING,starter-role-workload-v1-candidate
2024,RAMPING,PITCHES,28,0,9.884139681959658,9.884139681959658,11.878313235883189,11.878313235883189,-3.780237617631434,-3.780237617631434,0.0,,LEARNING,starter-role-workload-v1-candidate
2024,RAMPING,BF,28,0,3.4592316891613217,3.4592316891613217,4.0466898037269905,4.0466898037269905,-1.1171207882928638,-1.1171207882928638,0.0,,LEARNING,starter-role-workload-v1-candidate
2024,RAMPING,OUTS,28,0,3.3027365018893695,3.3027365018893695,4.021434786059773,4.021434786059773,-0.6439876600724278,-0.6439876600724278,0.0,,LEARNING,starter-role-workload-v1-candidate
2024,LOW_RECENT_EXPOSURE,PITCHES,34,3,15.041453684768745,15.076643937680721,18.883322662081195,18.892738040679934,-2.8091714700940016,-2.7259610315180485,-0.0023395513259207227,0.3333333333333333,LEARNING,starter-role-workload-v1-candidate
2024,LOW_RECENT_EXPOSURE,BF,34,3,3.8590544583923805,3.86760221985907,4.909849729957128,4.9168996922755115,-0.6141657489551963,-0.5942764618447304,-0.0022149885571322568,0.3333333333333333,LEARNING,starter-role-workload-v1-candidate
2024,LOW_RECENT_EXPOSURE,OUTS,34,3,3.4527287005128793,3.457358706514237,4.0281589847122286,4.032237412624395,-0.31945885954440784,-0.31044275327875087,-0.0013409701146429522,0.3333333333333333,LEARNING,starter-role-workload-v1-candidate
2025,ESTABLISHED,PITCHES,1884,0,8.430263636643874,8.430263636643874,11.676622685747626,11.676622685747626,-0.2755920270597887,-0.2755920270597887,0.0,,LEARNING,starter-role-workload-v1-candidate
2025,ESTABLISHED,BF,1884,0,2.5267447719016407,2.5267447719016407,3.352986709478028,3.352986709478028,-0.10485711585896146,-0.10485711585896146,0.0,,LEARNING,starter-role-workload-v1-candidate
2025,ESTABLISHED,OUTS,1884,0,2.781431836719927,2.781431836719927,3.6353104876631654,3.6353104876631654,0.004467411061747806,0.004467411061747806,0.0,,LEARNING,starter-role-workload-v1-candidate
2025,RAMPING,PITCHES,39,37,11.297979036898319,10.577191176024053,13.36169775634247,12.932674392355189,-4.669369983436669,-2.7229241968539823,0.06379794638671471,0.7297297297297297,HELPING,starter-role-workload-v1-candidate
2025,RAMPING,BF,39,37,2.8205497938845894,2.6345169271813162,3.35170378150986,3.1575617033991543,-1.4750791612141663,-0.9035580249272724,0.06595624268240988,0.7027027027027027,HELPING,starter-role-workload-v1-candidate
