Dimension,Segment,Settled Legs,Observed Days,Hits,Hit Rate,Avg Model Probability,Calibration Gap,Brier Score,Wilson Lower 95%,Lift vs Overall,Avg Projection Margin,Avg Margin % of Line,Avg Outcome Margin,Evidence,Reason,Report Only,Production Authority,Accountability Version
OVERALL,ALL REAL-LINE TOP PLAYS,10,2,6,0.6,0.7557321872542652,0.1557321872542652,0.26375305068981153,0.3126695474501863,0.0,1.621574739150157,0.2217517049082,0.2,LEARNING,Need 20 settled real-line Top Plays in this segment; 10 available. Directional only.,True,NONE,top-plays-accountability-v1
RANK,1,2,2,1,0.5,0.8282810801854967,0.32828108018549673,0.37605414739391335,0.09452865480086611,-0.09999999999999998,2.041990585054558,0.204445811977,0.0,LEARNING,Need 20 settled real-line Top Plays in this segment; 2 available. Directional only.,True,NONE,top-plays-accountability-v1
RANK,2,2,2,2,1.0,0.7543549091099826,0.2456450908900174,0.06142317869932127,0.3423719528896193,0.4,2.0147654388424625,0.27329832850150004,2.0,LEARNING,Need 20 settled real-line Top Plays in this segment; 2 available. Directional only.,True,NONE,top-plays-accountability-v1
RANK,3,2,2,2,1.0,0.743390072291093,0.256609927708907,0.06693687856291756,0.3423719528896193,0.4,1.4195541596284817,0.20122016247399999,0.5,LEARNING,Need 20 settled real-line Top Plays in this segment; 2 available. Directional only.,True,NONE,top-plays-accountability-v1
RANK,4,2,2,0,0.0,0.734312369616786,0.734312369616786,0.5401780763208189,0.0,-0.6,1.4112220296651703,0.18630461336350002,-1.5,LEARNING,Need 20 settled real-line Top Plays in this segment; 2 available. Directional only.,True,NONE,top-plays-accountability-v1
RANK,5,2,2,1,0.5,0.7183225050679672,0.21832250506796724,0.2741729724720866,0.09452865480086611,-0.09999999999999998,1.2203414825601127,0.243489608225,0.0,LEARNING,Need 20 settled real-line Top Plays in this segment; 2 available. Directional only.,True,NONE,top-plays-accountability-v1
MARKET,Hits Allowed,2,1,1,0.5,0.7068375990376355,0.20683759903763554,0.2892302566483831,0.09452865480086611,-0.09999999999999998,1.1425742307696147,0.175780650888,-0.5,LEARNING,Need 20 settled real-line Top Plays in this segment; 2 available. Directional only.,True,NONE,top-plays-accountability-v1
MARKET,Strikeouts,5,2,4,0.8,0.7631815225952698,0.03681847740473021,0.16313814743245994,0.37552826411853885,0.20000000000000007,1.6677718767781164,0.3038711337658,0.3,LEARNING,Need 20 settled real-line Top Plays in this segment; 5 available. Directional only.,True,NONE,top-plays-accountability-v1
MARKET,Total Outs,3,2,1,0.3333333333333333,0.7759130204970103,0.44257968716367696,0.41445975214634995,0.061490315276160515,-0.26666666666666666,1.8639131820239196,0.11553335949233334,0.5,LEARNING,Need 20 settled real-line Top Plays in this segment; 3 available. Directional only.,True,NONE,top-plays-accountability-v1
SIDE,OVER,3,2,2,0.6666666666666666,0.7193703991520923,0.0527037324854257,0.2086423432500132,0.20765495512648788,0.06666666666666665,1.2613199337587824,0.29025753273633337,0.16666666666666666,LEARNING,Need 20 settled real-line Top Plays in this segment; 3 available. Directional only.,True,NONE,top-plays-accountability-v1
SIDE,UNDER,7,2,4,0.5714285714285714,0.7713158107266248,0.1998872392980534,0.28737192530686795,0.2504542304090258,-0.02857142857142858,1.7759696557464604,0.19239206441042858,0.21428571428571427,LEARNING,Need 20 settled real-line Top Plays in this segment; 7 available. Directional only.,True,NONE,top-plays-accountability-v1
