Rank,Pitcher,Market,Side,Line,Line Source,Projection,Model Probability,Data Quality,Starter History,Status,Model Health,Game PK,Pitcher ID,Team,Opponent,Game Date,App Version,Probability Semantics,History Semantics,Captured At UTC,Weather Icon,Weather Risk,Weather Summary,Rain Probability,Postmortem Date,Actual,Hit,Resolved,Projection Margin,Outcome Margin,Probability Band,Quality Band,Lineup State,Lineup Source,Training Rows,Historical Market Health,Report Only,Production Authority,Postmortem Version
1,Ryan Johnson,Total Outs,UNDER,15.5,MANUAL,13.528992893492852,0.8462440902413856,60,11,MODEL PLAY,LEARNING,823991,696270,LAA,KCR,2026-08-16,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-16T16:58:55.358172+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 0%,0.0,2026-08-16,16.0,False,True,1.9710071065071482,-0.5,80–89%,60–69,CONFIRMED,CONFIRMED_LINEUP,106,LEARNING,True,NONE,top-plays-postmortem-v1
2,Blade Tidwell,Total Outs,UNDER,16.5,MANUAL,13.813745958471197,0.7872436308996223,50,4,WATCH,LEARNING,823182,694918,SFG,COL,2026-08-16,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-16T16:58:54.170615+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 0%,0.0,2026-08-16,13.0,True,True,2.6862540415288034,3.5,75–79%,<60,CONFIRMED,CONFIRMED_LINEUP,106,LEARNING,True,NONE,top-plays-postmortem-v1
3,Tarik Skubal,Strikeouts,UNDER,7.5,MANUAL,5.825653446777954,0.7763783060138476,71,18,STRONG,LEARNING,823912,669373,LAD,MIL,2026-08-16,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-16T17:58:04.291062+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 0%,0.0,2026-08-16,7.0,True,True,1.6743465532220458,0.5,75–79%,70–79,CONFIRMED,CONFIRMED_LINEUP,106,LEARNING,True,NONE,top-plays-postmortem-v1
4,Dylan Cease,Strikeouts,UNDER,8.5,MANUAL,6.797942636173971,0.7653513797266394,77,22,STRONG,LEARNING,822774,656302,TOR,NYY,2026-08-16,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-16T15:46:53.186281+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 7%,7.0,2026-08-16,10.0,False,True,1.7020573638260288,-1.5,75–79%,70–79,CONFIRMED,CONFIRMED_LINEUP,106,LEARNING,True,NONE,top-plays-postmortem-v1
5,Bryce Elder,Strikeouts,OVER,3.5,MANUAL,5.006204567084418,0.7423936697859116,78,23,STRONG,LEARNING,824880,693821,ATL,ARI,2026-08-16,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-16T15:46:52.662235+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 1%,1.0,2026-08-16,5.0,True,True,1.506204567084418,1.5,70–74%,70–79,CONFIRMED,CONFIRMED_LINEUP,106,LEARNING,True,NONE,top-plays-postmortem-v1
1,Zack Wheeler,Strikeouts,UNDER,7.5,MANUAL,5.24418001360972,0.8257271774181161,65,20,MODEL PLAY,LEARNING,823423,554430,PHI,MIA,2026-08-18,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-18T04:21:44.684123+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 7%,7.0,2026-08-18,,,False,2.2558199863902804,,80–89%,60–69,PROJECTED,ACTIVE_ROSTER,158,LEARNING,True,NONE,top-plays-postmortem-v1
2,Keider Montero,Total Outs,OVER,15.5,MANUAL,17.434478398035807,0.77728,65,20,MODEL PLAY,LEARNING,823341,672456,DET,PIT,2026-08-18,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-18T04:21:36.539744+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 0%,0.0,2026-08-18,,,False,1.9344783980358073,,75–79%,60–69,PROJECTED,ACTIVE_ROSTER,158,LEARNING,True,NONE,top-plays-postmortem-v1
3,Jack Perkins,Strikeouts,OVER,3.5,MANUAL,4.843276836156122,0.7214661873203427,58,15,WATCH,LEARNING,824075,678022,ATH,KCR,2026-08-18,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-18T04:22:00.479996+00:00,☀️,NONE,None weather-delay risk · game-window precipitation probability up to 6%,6.0,2026-08-18,,,False,1.3432768361561216,,70–74%,<60,PROJECTED,ACTIVE_ROSTER,158,LEARNING,True,NONE,top-plays-postmortem-v1
4,Ryan Feltner,Hits Allowed,UNDER,6.5,MANUAL,5.338326538985584,0.7098509847874258,62,18,MODEL PLAY,LEARNING,824319,663372,COL,LAD,2026-08-18,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-18T04:22:46.434251+00:00,,UNKNOWN,Weather forecast unavailable for this game window.,,2026-08-18,,,False,1.1616734610144164,,70–74%,60–69,PROJECTED,ACTIVE_ROSTER,158,LEARNING,True,NONE,top-plays-postmortem-v1
5,Eric Lauer,Hits Allowed,UNDER,6.5,MANUAL,5.344410269799143,0.7089574877509125,59,16,WATCH,LEARNING,824319,641778,LAD,COL,2026-08-18,3.7.0,milestone-ceil-v1,starter-only-v1,2026-08-18T04:22:45.217987+00:00,,UNKNOWN,Weather forecast unavailable for this game window.,,2026-08-18,,,False,1.155589730200857,,70–74%,<60,PROJECTED,ACTIVE_ROSTER,158,LEARNING,True,NONE,top-plays-postmortem-v1
