Dimension,Segment,Settled Legs,Hits,Hit Rate,Avg Model Probability,Calibration Gap,Brier Score,Avg Projection Margin,Avg Outcome Margin,Report Only,Production Authority,Postmortem Version,Lift vs Overall
OVERALL,ALL REAL-LINE TOP PLAYS,5,3,0.6,0.7835222153334812,0.18352221533348123,0.2927049501396647,1.9079739264336886,0.7,True,NONE,top-plays-postmortem-v1,0.0
RANK,1,1,0,0.0,0.8462440902413856,0.8462440902413856,0.7161290602684703,1.9710071065071482,-0.5,True,NONE,top-plays-postmortem-v1,-0.6
RANK,2,1,1,1.0,0.7872436308996223,0.21275636910037765,0.04526527259277613,2.6862540415288034,3.5,True,NONE,top-plays-postmortem-v1,0.4
RANK,3,1,1,1.0,0.7763783060138476,0.2236216939861524,0.05000666202123639,1.6743465532220458,0.5,True,NONE,top-plays-postmortem-v1,0.4
RANK,4,1,0,0.0,0.7653513797266394,0.7653513797266394,0.5857627344494705,1.7020573638260288,-1.5,True,NONE,top-plays-postmortem-v1,-0.6
RANK,5,1,1,1.0,0.7423936697859116,0.2576063302140884,0.06636102136636995,1.506204567084418,1.5,True,NONE,top-plays-postmortem-v1,0.4
MARKET,Strikeouts,3,2,0.6666666666666666,0.7613744518421329,0.0947077851754663,0.23404347261235894,1.6275361613774975,0.16666666666666666,True,NONE,top-plays-postmortem-v1,0.06666666666666665
MARKET,Total Outs,2,1,0.5,0.816743860570504,0.31674386057050397,0.38069716643062324,2.328630574017976,1.5,True,NONE,top-plays-postmortem-v1,-0.09999999999999998
SIDE,OVER,1,1,1.0,0.7423936697859116,0.2576063302140884,0.06636102136636995,1.506204567084418,1.5,True,NONE,top-plays-postmortem-v1,0.4
SIDE,UNDER,4,2,0.5,0.7938043517203737,0.29380435172037367,0.34929093233298836,2.0084162662710066,0.5,True,NONE,top-plays-postmortem-v1,-0.09999999999999998
STATUS,MODEL PLAY,1,0,0.0,0.8462440902413856,0.8462440902413856,0.7161290602684703,1.9710071065071482,-0.5,True,NONE,top-plays-postmortem-v1,-0.6
STATUS,STRONG,3,2,0.6666666666666666,0.7613744518421329,0.0947077851754663,0.23404347261235894,1.6275361613774975,0.16666666666666666,True,NONE,top-plays-postmortem-v1,0.06666666666666665
STATUS,WATCH,1,1,1.0,0.7872436308996223,0.21275636910037765,0.04526527259277613,2.6862540415288034,3.5,True,NONE,top-plays-postmortem-v1,0.4
PROBABILITY BAND,70–74%,1,1,1.0,0.7423936697859116,0.2576063302140884,0.06636102136636995,1.506204567084418,1.5,True,NONE,top-plays-postmortem-v1,0.4
PROBABILITY BAND,75–79%,3,2,0.6666666666666666,0.7763244388800364,0.10965777221336981,0.22701155635449433,2.0208859861922925,0.8333333333333334,True,NONE,top-plays-postmortem-v1,0.06666666666666665
PROBABILITY BAND,80–89%,1,0,0.0,0.8462440902413856,0.8462440902413856,0.7161290602684703,1.9710071065071482,-0.5,True,NONE,top-plays-postmortem-v1,-0.6
QUALITY BAND,60–69,1,0,0.0,0.8462440902413856,0.8462440902413856,0.7161290602684703,1.9710071065071482,-0.5,True,NONE,top-plays-postmortem-v1,-0.6
QUALITY BAND,70–79,3,2,0.6666666666666666,0.7613744518421329,0.0947077851754663,0.23404347261235894,1.6275361613774975,0.16666666666666666,True,NONE,top-plays-postmortem-v1,0.06666666666666665
QUALITY BAND,<60,1,1,1.0,0.7872436308996223,0.21275636910037765,0.04526527259277613,2.6862540415288034,3.5,True,NONE,top-plays-postmortem-v1,0.4
LINE SOURCE,MANUAL,5,3,0.6,0.7835222153334812,0.18352221533348123,0.2927049501396647,1.9079739264336886,0.7,True,NONE,top-plays-postmortem-v1,0.0
LINEUP STATE,CONFIRMED,5,3,0.6,0.7835222153334812,0.18352221533348123,0.2927049501396647,1.9079739264336886,0.7,True,NONE,top-plays-postmortem-v1,0.0
WEATHER RISK,NONE,5,3,0.6,0.7835222153334812,0.18352221533348123,0.2927049501396647,1.9079739264336886,0.7,True,NONE,top-plays-postmortem-v1,0.0
MARKET HEALTH,LEARNING,5,3,0.6,0.7835222153334812,0.18352221533348123,0.2927049501396647,1.9079739264336886,0.7,True,NONE,top-plays-postmortem-v1,0.0
