Review_Dimension,Dimension,Segment,Rows,Authentic_Pregame_Candidates,OOS_Eligible_Starts,Observed_Days,Distinct_Umpires,Base_MAE,UmpireCandidate_MAE,Relative_MAE_Improvement,Candidate_Win_Share,Candidate_Loss_Share,Base_Bias,UmpireCandidate_Bias,Bias_Absolute_Change,Mean_Absolute_Factor_Delta,Evidence,Reason,Report_Only,Production_Authority,No_Auto_Promotion,Automatic_Decision_Allowed,Source_Version,Snapshot_Version
OVERALL,OVERALL,ALL LIVE UMPIRE CANDIDATES,340,140,140,7,55,1.8388029111255235,1.8488481831308792,-0.0054629411040071,0.4857142857142857,0.5142857142857142,0.1350002944454418,0.1528493963405263,0.017849101895084513,0.0316544317756587,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 140, 7, and 55.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,LINEAGE,NO_UMPIRE_CAPTURE,155,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 0, 0, and 0.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,LINEAGE,PRE_GAME_CAPTURE,185,140,140,7,55,1.8388029111255235,1.8488481831308792,-0.0054629411040071,0.4857142857142857,0.5142857142857142,0.1350002944454418,0.1528493963405263,0.017849101895084513,0.0316544317756587,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 140, 7, and 55.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,OUTCOME LINEAGE,RESOLVED_AFTER_START,312,140,140,7,55,1.8388029111255235,1.8488481831308792,-0.0054629411040071,0.4857142857142857,0.5142857142857142,0.1350002944454418,0.1528493963405263,0.017849101895084513,0.0316544317756587,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 140, 7, and 55.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
LINEAGE_INTEGRITY,OUTCOME LINEAGE,UNRESOLVED,28,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 0, 0, and 0.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
FACTOR_DIRECTION,FACTOR DIRECTION,K DOWN,69,69,69,7,28,1.816431780579019,1.8150548359458285,0.0007580491862743,0.5652173913043478,0.4347826086956521,0.2638491393088994,0.1289821839795753,-0.1348669553293241,0.0289941620132535,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 69, 7, and 28.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
FACTOR_DIRECTION,FACTOR DIRECTION,K UP,71,71,71,7,27,1.860543868980577,1.8816896050431104,-0.0113653520430665,0.4084507042253521,0.5915492957746479,0.0097809945077153,0.1760442928603239,0.16626329835260859,0.0342397643616582,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 71, 7, and 27.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
FACTOR_DIRECTION,FACTOR DIRECTION,NEUTRAL,45,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 0, 0, and 0.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
FACTOR_DIRECTION,FACTOR DIRECTION,UNKNOWN,155,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 0, 0, and 0.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
FACTOR_MAGNITUDE,FACTOR DELTA BAND,1-1.9%,45,45,45,7,19,1.9837994950894755,1.973800754571828,0.0050401971279848,0.5777777777777777,0.4222222222222222,0.1334661241014328,0.1245396863764383,-0.008926437724994504,0.0142653212518458,LEARNING,"Need at least 30 authentic OOS starts, 10 observed days, and 8 umpires; have 45, 7, and 19.",True,NONE,True,False,umpire-k-live-validation-v1-lineage-safe-report-only,umpire-context-review-snapshot-v1-report-only
