game_pk,game_date,umpire_id,umpire_name,total_strikeouts,total_batters_faced,game_k_rate,resolved_at_utc
822696,2026-08-13,427013,Lance Barksdale,19.0,64.0,0.296875,2026-08-14T15:45:43.410236+00:00
822697,2026-08-11,596809,Ryan Additon,17.0,84.0,0.2023809523809523,2026-08-14T15:45:43.517215+00:00
822698,2026-08-12,485856,Jonathan Parra,19.0,89.0,0.2134831460674157,2026-08-14T15:45:43.644275+00:00
822700,2026-08-09,665298,Dexter Kelley,16.0,70.0,0.2285714285714285,2026-08-14T15:45:43.748441+00:00
822776,2026-08-13,427197,Chris Guccione,11.0,73.0,0.1506849315068493,2026-08-14T15:45:43.826594+00:00
822778,2026-08-11,598411,Nestor Ceja,14.0,75.0,0.1866666666666666,2026-08-14T15:45:43.906438+00:00
822779,2026-08-12,691042,Willie Traynor,10.0,75.0,0.1333333333333333,2026-08-14T15:45:44.096792+00:00
822780,2026-08-10,605671,Charlie Ramos,12.0,71.0,0.1690140845070422,2026-08-14T15:45:44.227953+00:00
822862,2026-08-09,676581,James Jean,16.0,87.0,0.1839080459770115,2026-08-14T15:45:44.331235+00:00
823017,2026-08-12,427248,Dan Iassogna,17.0,71.0,0.2394366197183098,2026-08-14T15:45:44.523762+00:00
823018,2026-08-10,665299,Louie Krupa,20.0,80.0,0.25,2026-08-14T15:45:44.603945+00:00
823019,2026-08-11,644760,Adam Beck,14.0,64.0,0.21875,2026-08-14T15:45:44.682052+00:00
823020,2026-08-09,427197,Chris Guccione,8.0,78.0,0.1025641025641025,2026-08-14T15:45:44.821497+00:00
823104,2026-08-09,573597,Gabe Morales,13.0,80.0,0.1625,2026-08-14T15:45:44.900022+00:00
823186,2026-08-11,676580,Steven Jaschinski,12.0,73.0,0.1643835616438356,2026-08-14T15:45:44.993806+00:00
823187,2026-08-12,608158,Nate Tomlinson,15.0,68.0,0.2205882352941176,2026-08-14T15:45:45.072042+00:00
823189,2026-08-10,427533,Mark Wegner,14.0,79.0,0.1772151898734177,2026-08-14T15:45:45.167776+00:00
823190,2026-08-09,607884,Paul Clemons,21.0,74.0,0.2837837837837837,2026-08-14T15:45:45.364301+00:00
823263,2026-08-12,427315,Alfonso Márquez,22.0,89.0,0.247191011235955,2026-08-14T15:45:45.493332+00:00
823264,2026-08-11,623946,Malachi Moore,12.0,82.0,0.1463414634146341,2026-08-14T15:45:45.582240+00:00
823265,2026-08-10,483561,Lance Barrett,17.0,63.0,0.2698412698412698,2026-08-14T15:45:45.668883+00:00
823268,2026-08-10,658082,Jacob Metz,11.0,66.0,0.1666666666666666,2026-08-14T15:45:45.745739+00:00
823345,2026-08-09,623949,Clint Vondrak,23.0,82.0,0.2804878048780488,2026-08-14T15:45:45.880260+00:00
823425,2026-08-09,665576,Brock Ballou,24.0,102.0,0.2352941176470588,2026-08-14T15:45:45.962417+00:00
823508,2026-08-13,427128,Rob Drake,20.0,66.0,0.303030303030303,2026-08-14T15:45:46.042801+00:00
823511,2026-08-12,608093,Junior Valentine,16.0,80.0,0.2,2026-08-14T15:45:46.123121+00:00
823512,2026-08-11,521889,Stu Scheurwater,16.0,66.0,0.2424242424242424,2026-08-14T15:45:46.218224+00:00
823513,2026-08-09,483564,Dan Bellino,23.0,68.0,0.3382352941176471,2026-08-14T15:45:46.310029+00:00
823669,2026-08-13,427129,Bruce Dreckman,19.0,79.0,0.240506329113924,2026-08-14T15:45:46.389031+00:00
823672,2026-08-12,658325,Tyler Jones,16.0,77.0,0.2077922077922078,2026-08-14T15:45:46.585020+00:00
823673,2026-08-11,429805,Todd Tichenor,16.0,78.0,0.2051282051282051,2026-08-14T15:45:46.679945+00:00
823675,2026-08-10,503077,Adam Hamari,18.0,78.0,0.2307692307692307,2026-08-14T15:45:46.760624+00:00
823751,2026-08-09,489985,Chad Whitson,26.0,82.0,0.3170731707317073,2026-08-14T15:45:46.842051+00:00
823829,2026-08-13,665576,Brock Ballou,19.0,76.0,0.25,2026-08-14T15:45:46.970957+00:00
823832,2026-08-11,544728,Nic Lentz,19.0,62.0,0.3064516129032258,2026-08-14T15:45:47.059955+00:00
823833,2026-08-12,427537,Hunter Wendelstedt,10.0,76.0,0.131578947368421,2026-08-14T15:45:47.203268+00:00
823835,2026-08-09,504381,Will Little,24.0,84.0,0.2857142857142857,2026-08-14T15:45:47.399062+00:00
823915,2026-08-13,573597,Gabe Morales,17.0,76.0,0.2236842105263158,2026-08-14T15:45:47.487249+00:00
823916,2026-08-12,427344,Bill Miller,14.0,70.0,0.2,2026-08-14T15:45:47.577901+00:00
823917,2026-08-11,665281,Brian Walsh,22.0,81.0,0.2716049382716049,2026-08-14T15:45:47.657997+00:00
823918,2026-08-10,545402,John Bacon,13.0,71.0,0.1830985915492957,2026-08-14T15:45:47.736765+00:00
823994,2026-08-12,503586,Tripp Gibson,15.0,73.0,0.2054794520547945,2026-08-14T15:45:47.815072+00:00
823995,2026-08-13,427243,Marvin Hudson,18.0,76.0,0.2368421052631578,2026-08-14T15:45:47.894096+00:00
823997,2026-08-11,658536,Austin Jones,14.0,66.0,0.2121212121212121,2026-08-14T15:45:47.986289+00:00
823998,2026-08-10,521051,Nick Mahrley,22.0,83.0,0.2650602409638554,2026-08-14T15:45:48.186799+00:00
824078,2026-08-09,482666,D.J. Reyburn,14.0,82.0,0.1707317073170731,2026-08-14T15:45:48.278275+00:00
824238,2026-08-13,428442,James Hoye,8.0,66.0,0.1212121212121212,2026-08-14T15:45:48.358173+00:00
824240,2026-08-11,503493,Sean Barber,11.0,76.0,0.1447368421052631,2026-08-14T15:45:48.552656+00:00
824241,2026-08-12,596805,John Libka,16.0,84.0,0.1904761904761904,2026-08-14T15:45:48.686359+00:00
824561,2026-08-13,484198,Alan Porter,18.0,88.0,0.2045454545454545,2026-08-14T15:45:48.768688+00:00
824562,2026-08-12,427554,Jim Wolf,19.0,68.0,0.2794117647058823,2026-08-14T15:45:48.861247+00:00
824563,2026-08-11,577468,Roberto Ortiz,21.0,75.0,0.28,2026-08-14T15:45:49.054533+00:00
824564,2026-08-09,605673,Alex Tosi,19.0,79.0,0.240506329113924,2026-08-14T15:45:49.150125+00:00
824724,2026-08-09,427292,Ron Kulpa,15.0,75.0,0.2,2026-08-14T15:45:49.243392+00:00
824883,2026-08-12,427164,Andy Fletcher,14.0,70.0,0.2,2026-08-14T15:45:49.321746+00:00
824886,2026-08-11,596740,Jansen Visconti,9.0,64.0,0.140625,2026-08-14T15:45:49.414297+00:00
824887,2026-08-10,484183,Cory Blaser,19.0,85.0,0.2235294117647059,2026-08-14T15:45:49.612271+00:00
824967,2026-08-12,482641,Adrian Johnson,11.0,79.0,0.1392405063291139,2026-08-14T15:45:49.759628+00:00
824969,2026-08-10,511890,Quinn Wolcott,14.0,81.0,0.1728395061728395,2026-08-14T15:45:49.840035+00:00
824970,2026-08-11,594151,Ramon De Jesus,11.0,77.0,0.1428571428571428,2026-08-14T15:45:49.932468+00:00
825046,2026-08-11,427139,Doug Eddings,14.0,67.0,0.208955223880597,2026-08-14T15:45:50.023848+00:00
825047,2026-08-12,621660,Emil Jimenez,10.0,85.0,0.1176470588235294,2026-08-14T15:45:50.119338+00:00
825048,2026-08-10,483912,Mike Muchlinski,11.0,73.0,0.1506849315068493,2026-08-14T15:45:50.200227+00:00
825050,2026-08-09,547380,Carlos Torres,18.0,68.0,0.2647058823529412,2026-08-14T15:45:50.278435+00:00
