name,team,throws,base_avg,games,strikeouts,ip,era,top_pitch,pitch_k_pct,whiff_pct,skill_score,p1,p1_use,p1_whiff,p2,p2_use,p2_whiff,p3,p3_use,p3_whiff,p4,p4_use,p4_whiff,p5,p5_use,p5_whiff
dylan cease,TOR,R,7.95,23,183,133.1,3.48,Slider 42% use,34.2%,35.4%,9.1,Slider,42%,W:47%,Four-seam FB,38%,W:25%,Knuckle Curve,11%,W:38%,Sinker,6%,W:14%,Changeup,3%,W:31%
tarik skubal,LAD,L,7.65,24,184,154.2,2.45,Four-seam 39% use,32.5%,31.1%,9.5,Four-seam FB,39%,W:29%,Changeup,31%,W:44%,Slider,20%,W:38%,Knuckle Curve,10%,W:31%,—,0%,—
paul skenes,PIT,R,8.15,21,171,131.0,2.15,Four-seam 42% use,35.2%,31.8%,9.7,Four-seam FB,42%,W:31%,Splinker,28%,W:29%,Slider,15%,W:42%,Curveball,10%,W:29%,Changeup,5%,W:22%
tanner bibee,CLE,R,5.95,22,131,121.0,3.65,Four-seam 45% use,26.4%,24.2%,6.5,Four-seam FB,45%,W:21%,Slider,25%,W:34%,Changeup,18%,W:26%,Cutter,12%,W:14%,—,0%,—
corbin burnes,BAL,R,6.25,24,150,149.2,3.12,Cutter 48% use,24.7%,25.9%,7.9,Cutter,48%,W:24%,Slider,22%,W:36%,Changeup,13%,W:31%,Sinker,11%,W:12%,Curveball,6%,W:28%
cole ragans,KCR,L,7.15,23,158,134.0,3.31,Four-seam 41% use,29.3%,28.7%,8.2,Four-seam FB,41%,W:26%,Changeup,23%,W:41%,Slider,16%,W:37%,Cutter,11%,W:22%,Curveball,9%,W:33%
zack wheeler,PHI,R,6.95,22,156,136.2,2.77,Four-seam 43% use,27.8%,26.4%,8.4,Four-seam FB,43%,W:28%,Sinker,18%,W:15%,Sweeper,15%,W:39%,Splitter,13%,W:32%,Cutter,11%,W:19%
garrett crochet,CHW,L,7.85,22,162,118.1,3.40,Four-seam 54% use,33.1%,32.9%,8.9,Four-seam FB,54%,W:30%,Cutter,26%,W:34%,Slider,15%,W:41%,Changeup,5%,W:25%,—,0%,—
tyler glasnow,LAD,R,7.90,22,168,134.0,3.49,Four-seam 47% use,32.2%,31.6%,8.8,Four-seam FB,47%,W:28%,Slider,31%,W:42%,Curveball,18%,W:38%,Sinker,4%,W:11%,—,0%,—
chris sale,ATL,L,7.10,21,150,127.2,2.71,Slider 40% use,31.4%,30.5%,8.6,Slider,40%,W:43%,Four-seam FB,38%,W:24%,Sinker,15%,W:18%,Changeup,7%,W:29%,—,0%,—
hunter greene,CIN,R,6.65,22,149,130.1,2.83,Four-seam 58% use,27.5%,26.1%,7.8,Four-seam FB,58%,W:25%,Slider,28%,W:36%,Splitter,12%,W:28%,Cutter,2%,W:12%,—,0%,—
max fried,ATL,L,5.35,19,95,108.0,3.08,Curveball 23% use,21.8%,22.4%,6.1,Curveball,23%,W:33%,Four-seam FB,21%,W:18%,Sinker,20%,W:14%,Slider,18%,W:26%,Changeup,18%,W:27%
reid detmers,LAA,R,5.65,20,111,105.1,4.25,Four-seam 44% use,25.1%,24.8%,6.3,Four-seam FB,44%,W:22%,Slider,26%,W:36%,Curveball,16%,W:31%,Changeup,14%,W:19%,—,0%,—
